"Sample name","Sample accession","Lane name","Lane accession"
503311_aEPEC,ERS085430,7553_7#61,ERR124653
503947_aEPEC,ERS085431,7553_7#62,ERR124654
505393_aEPEC,ERS085432,7553_7#63,ERR124655
505513_aEPEC,ERS085433,7553_7#64,ERR124656
401480_aEPEC,ERS085434,7553_7#65,ERR124657
200781_aEPEC,ERS085435,7553_7#66,ERR124658
202521_aEPEC,ERS085436,7553_7#67,ERR124659
203470_aEPEC,ERS085437,7553_7#68,ERR124660
204263_aEPEC,ERS085438,7553_7#69,ERR124661
402138_aEPEC,ERS085439,7553_7#70,ERR124662
503537_aEPEC,ERS085440,7553_7#71,ERR124663
504925_aEPEC,ERS085441,7553_7#72,ERR124664
200708_aEPEC,ERS085382,7739_6#49,"not found"
200758_aEPEC,ERS085383,7739_6#50,"not found"
201381_aEPEC,ERS085384,7739_6#51,"not found"
400549_aEPEC,ERS085385,7739_6#52,"not found"
400654_aEPEC,ERS085386,7739_6#53,"not found"
400714_aEPEC,ERS085387,7739_6#54,"not found"
400998_aEPEC,ERS085389,7739_6#56,"not found"
401250_aEPEC,ERS085390,7739_6#57,"not found"
401596_aEPEC,ERS085391,7739_6#58,"not found"
401886_aEPEC,ERS085392,7739_6#59,"not found"
401938_aEPEC,ERS085393,7739_6#60,"not found"
402074_aEPEC,ERS085394,7739_6#61,"not found"
402480_aEPEC,ERS085395,7739_6#62,"not found"
402743_aEPEC,ERS085396,7739_6#63,"not found"
402780_aEPEC,ERS085397,7739_6#64,"not found"
402977_aEPEC,ERS085398,7739_6#65,"not found"
403096_aEPEC,ERS085399,7739_6#66,"not found"
403726_aEPEC,ERS085400,7739_6#67,"not found"
503238_aEPEC,ERS085401,7739_6#68,"not found"
503891_aEPEC,ERS085402,7739_6#69,"not found"
504005_aEPEC,ERS085403,7739_6#70,"not found"
702745_aEPEC,ERS085404,7739_6#71,"not found"
702890_aEPEC,ERS085405,7739_6#72,"not found"
702898_aEPEC,ERS085406,7739_6#73,"not found"
100383_aEPEC,ERS085407,7739_6#74,"not found"
102010_aEPEC,ERS085408,7739_6#75,"not found"
102014_aEPEC,ERS085409,7739_6#76,"not found"
102366_aEPEC,ERS085410,7739_6#77,"not found"
102606_aEPEC,ERS085411,7739_6#78,"not found"
200456_aEPEC,ERS085412,7739_6#79,"not found"
200959_aEPEC,ERS085413,7739_6#80,"not found"
201191_aEPEC,ERS085414,7739_6#81,"not found"
201488_aEPEC,ERS085415,7739_6#82,"not found"
201589_aEPEC,ERS085416,7739_6#83,"not found"
202317_aEPEC,ERS085417,7739_6#84,"not found"
202621_aEPEC,ERS085418,7739_6#85,"not found"
300812_aEPEC,ERS085419,7739_6#86,"not found"
300814_aEPEC,ERS085420,7739_6#87,"not found"
400897_aEPEC,ERS085421,7739_6#88,"not found"
401174_aEPEC,ERS085423,7739_6#90,"not found"
401709_aEPEC,ERS085424,7739_6#91,"not found"
402058_aEPEC,ERS085425,7739_6#92,"not found"
402097_aEPEC,ERS085426,7739_6#93,"not found"
402227_aEPEC,ERS085427,7739_6#94,"not found"
500197_aEPEC,ERS085428,7739_6#95,"not found"
503130_aEPEC,ERS085429,7739_6#96,"not found"
100269_aEPEC,ERS085334,7748_7#1,ERR134513
100554_aEPEC,ERS085335,7748_7#2,ERR134514
100600_aEPEC,ERS085336,7748_7#3,ERR134515
102298_aEPEC,ERS085337,7748_7#4,ERR134516
102328_aEPEC,ERS085338,7748_7#5,ERR134517
102485_aEPEC,ERS085339,7748_7#6,ERR134518
200135_aEPEC,ERS085340,7748_7#7,ERR134519
200439_aEPEC,ERS085341,7748_7#8,ERR134520
201214_aEPEC,ERS085342,7748_7#9,ERR134521
201534_aEPEC,ERS085343,7748_7#10,ERR134522
202423_aEPEC,ERS085344,7748_7#11,ERR134523
202443_aEPEC,ERS085345,7748_7#12,ERR134524
202453_aEPEC,ERS085346,7748_7#13,ERR134525
202833_aEPEC,ERS085347,7748_7#14,ERR134526
202973_aEPEC,ERS085348,7748_7#15,ERR134527
204302_aEPEC,ERS085349,7748_7#16,ERR134528
300086_aEPEC,ERS085350,7748_7#17,ERR134529
300711_aEPEC,ERS085351,7748_7#18,ERR134530
300795_aEPEC,ERS085352,7748_7#19,ERR134531
402048_aEPEC,ERS085353,7748_7#20,ERR134532
402099_aEPEC,ERS085354,7748_7#21,ERR134533
402248_aEPEC,ERS085355,7748_7#22,ERR134534
402654_aEPEC,ERS085356,7748_7#23,ERR134535
402770_aEPEC,ERS085357,7748_7#24,ERR134536
403128_aEPEC,ERS085358,7748_7#25,ERR134537
403308_aEPEC,ERS085359,7748_7#26,ERR134538
500275_aEPEC,ERS085360,7748_7#27,ERR134539
500618_aEPEC,ERS085361,7748_7#28,ERR134540
500858_aEPEC,ERS085362,7748_7#29,ERR134541
500864_aEPEC,ERS085363,7748_7#30,ERR134542
501029_aEPEC,ERS085364,7748_7#31,ERR134543
503028_aEPEC,ERS085365,7748_7#32,ERR134544
503225_aEPEC,ERS085366,7748_7#33,ERR134545
503459_aEPEC,ERS085367,7748_7#34,ERR134546
503662_aEPEC,ERS085368,7748_7#35,ERR134547
504225_aEPEC,ERS085369,7748_7#36,ERR134548
504300_aEPEC,ERS085370,7748_7#37,ERR134549
504449_aEPEC,ERS085371,7748_7#38,ERR134550
504647_aEPEC,ERS085372,7748_7#39,ERR134551
504821_aEPEC,ERS085373,7748_7#40,ERR134552
504888_aEPEC,ERS085374,7748_7#41,ERR134553
602370_aEPEC,ERS085375,7748_7#42,ERR134554
700337_aEPEC,ERS085376,7748_7#43,ERR134555
700495_aEPEC,ERS085377,7748_7#44,ERR134556
702161_aEPEC,ERS085379,7748_7#46,ERR134558
703258_aEPEC,ERS085380,7748_7#47,ERR134559
703975_aEPEC,ERS085381,7748_7#48,ERR134560
200708_aEPEC,ERS085382,7790_1#49,ERR137782
200758_aEPEC,ERS085383,7790_1#50,ERR137783
201381_aEPEC,ERS085384,7790_1#51,ERR137784
400549_aEPEC,ERS085385,7790_1#52,ERR137785
400654_aEPEC,ERS085386,7790_1#53,ERR137786
