"Sample name","Sample accession","Lane name","Lane accession"
E8,ERS038927,6649_2#1,ERR049156
E54,ERS038929,6649_2#3,ERR049158
E70,ERS038930,6649_2#4,ERR049159
E71,ERS038931,6649_2#5,ERR049160
E88,ERS038932,6649_2#6,ERR049161
E333,ERS038933,6649_2#7,ERR049162
E344,ERS038934,6649_2#8,ERR049163
E370,ERS038935,6649_2#9,ERR049164
E416,ERS038936,6649_2#10,ERR049165
E471,ERS038937,6649_2#11,ERR049166
E517,ERS038938,6649_2#12,ERR049167
E554,ERS038939,6649_2#13,ERR049168
E562,ERS038940,6649_2#14,ERR049169
E563,ERS038941,6649_2#15,ERR049170
E632,ERS038942,6649_2#16,ERR049171
E636,ERS038943,6649_2#17,ERR049172
E655,ERS038944,6649_2#18,ERR049173
E863,ERS038945,6649_2#19,ERR049174
E877,ERS038946,6649_2#20,ERR049175
E879,ERS038947,6649_2#21,ERR049176
E897,ERS038948,6649_2#22,ERR049177
E916,ERS038949,6649_2#23,ERR049178
E917,ERS038950,6649_2#24,ERR049179
E925,ERS038951,6649_3#1,"not found"
E927,ERS038952,6649_3#2,"not found"
E938,ERS038953,6649_3#3,"not found"
E940,ERS038954,6649_3#4,"not found"
E953,ERS038955,6649_3#5,"not found"
E986,ERS038956,6649_3#6,"not found"
E1034,ERS038957,6649_3#7,"not found"
E1074,ERS038958,6649_3#8,"not found"
E1085,ERS038959,6649_3#9,"not found"
E1091,ERS038960,6649_3#10,"not found"
E1111,ERS038961,6649_3#11,"not found"
E1189,ERS038962,6649_3#12,"not found"
E1245,ERS038963,6649_3#13,"not found"
E1287,ERS038964,6649_3#14,"not found"
E1298,ERS038965,6649_3#15,"not found"
E1373,ERS038966,6649_3#16,"not found"
E1392,ERS038967,6649_3#17,"not found"
E1541,ERS038968,6649_3#18,"not found"
E1548,ERS038969,6649_3#19,"not found"
E1624,ERS038970,6649_3#20,"not found"
E1646,ERS038971,6649_3#21,"not found"
E1716,ERS038972,6649_3#22,"not found"
E1779,ERS038973,6649_3#23,"not found"
E1784,ERS038974,6649_3#24,"not found"
E925,ERS038951,6711_2#1,ERR052881
E927,ERS038952,6711_2#2,ERR052882
E938,ERS038953,6711_2#3,ERR052883
E940,ERS038954,6711_2#4,ERR052884
E953,ERS038955,6711_2#5,ERR052885
E986,ERS038956,6711_2#6,ERR052886
E1034,ERS038957,6711_2#7,ERR052887
E1074,ERS038958,6711_2#8,ERR052888
E1085,ERS038959,6711_2#9,ERR052889
E1091,ERS038960,6711_2#10,ERR052890
E1111,ERS038961,6711_2#11,ERR052891
E1189,ERS038962,6711_2#12,ERR052892
E1245,ERS038963,6711_2#13,ERR052893
E1287,ERS038964,6711_2#14,ERR052894
E1298,ERS038965,6711_2#15,ERR052895
E1373,ERS038966,6711_2#16,ERR052896
E1392,ERS038967,6711_2#17,ERR052897
E1541,ERS038968,6711_2#18,ERR052898
E1548,ERS038969,6711_2#19,ERR052899
E1624,ERS038970,6711_2#20,ERR052900
E1646,ERS038971,6711_2#21,ERR052901
E1716,ERS038972,6711_2#22,ERR052902
E1779,ERS038973,6711_2#23,ERR052903
E1784,ERS038974,6711_2#24,ERR052904
E925,ERS038951,6732_2#1,ERR052905
E927,ERS038952,6732_2#2,ERR052906
E938,ERS038953,6732_2#3,ERR052907
E940,ERS038954,6732_2#4,ERR052908
E953,ERS038955,6732_2#5,ERR052909
E986,ERS038956,6732_2#6,ERR052910
E1034,ERS038957,6732_2#7,ERR052911
E1074,ERS038958,6732_2#8,ERR052912
E1085,ERS038959,6732_2#9,ERR052913
E1091,ERS038960,6732_2#10,ERR052914
E1111,ERS038961,6732_2#11,ERR052915
E1189,ERS038962,6732_2#12,ERR052916
E1245,ERS038963,6732_2#13,ERR052917
E1287,ERS038964,6732_2#14,ERR052918
E1298,ERS038965,6732_2#15,ERR052919
E1373,ERS038966,6732_2#16,ERR052920
