Isolate (UG designation),ERS-number
E8,ERS038927
E21,ERS044456
E28,ERS044457
E36,ERS044458
E45,ERS044459
E54,ERS038929
E66,ERS044460
E70,ERS038930
E71,ERS038931
E74,ERS044461
E79,ERS044462
E85,ERS044463
E87,ERS044464
E88,ERS038932
E97,ERS044465
E99,ERS044466
E106,ERS044455
E110,ERS044467
E126,ERS044468
E129,ERS044469
E133,ERS044470
E135,ERS044471
E141,ERS044472
E143,ERS044473
E151,ERS044474
E157,ERS077703
E159,ERS077713
E160,ERS077719
E167,ERS077743
E220,ERS044475
E222,ERS077576
E223,ERS077577
E224,ERS044476
E237,ERS044477
E239,ERS077578
E251,ERS044478
E263,ERS077579
E272,ERS044479
E329,ERS077580
E330,ERS077581
E333,ERS038933
E335,ERS077582
E336,ERS077583
E340,ERS077584
E343,ERS077585
E344,ERS038934
E351,ERS077586
E354,ERS077587
E356,ERS077588
E360,ERS077589
E361,ERS077590
E370,ERS038935
E390,ERS077591
E391,ERS077592
E399,ERS077593
E405,ERS077594
E415,ERS077595
E416,ERS038936
E425,ERS077596
E445,ERS077597
E451,ERS077598
E471,ERS038937
E509,ERS139279
E513,ERS077600
E517,ERS038938
E519,ERS077601
E520,ERS077602
E523,ERS077603
E527,ERS077604
E528,ERS077605
E529,ERS077606
E554,ERS038939
E562,ERS038940
E563,ERS038941
E604,ERS077607
E616,ERS077608
E618,ERS077609
E620,ERS077610
E621,ERS139280
E622,ERS077612
E626,ERS077613
E628,ERS077614
E632,ERS038942
E636,ERS038943
E645,ERS077615
E655,ERS038944
E658,ERS077616
E659,ERS077617
E662,ERS077618
E703,ERS077619
E704,ERS077620
E705,ERS077621
E710,ERS139281
E806,ERS044480
E810,ERS044481
E811,ERS139282
E812,ERS044482
E816,ERS044483
E818,ERS077624
E819,ERS077625
E821,ERS077626
E822,ERS044484
E828,ERS077627
E833,ERS077628
E841,ERS077629
E842,ERS044485
E855,ERS077630
E856,ERS044486
E858,ERS044487
E860,ERS077631
E863,ERS038945
E865,ERS077632
E867,ERS044488
E871,ERS044489
E873,ERS077633
E876,ERS077634
E877,ERS038946
E879,ERS038947
E881,ERS077635
E882,ERS044490
E883,ERS044491
E884,ERS077637
E885,ERS077638
E887,ERS077639
E888,ERS077640
E890,ERS077641
E891,ERS077642
E892,ERS077643
E893,ERS077644
E895,ERS044492
E897,ERS038948
E898,ERS077645
E899,ERS077646
E900,ERS044493
E901,ERS044494
E903,ERS044495
E907,ERS044496
E908,ERS077648
E916,ERS038949
E917,ERS038950
E920,ERS044497
E924,ERS077649
E925,ERS038951
E927,ERS038952
E928,ERS044498
E934,ERS077651
E935,ERS077652
E936,ERS077653
E938,ERS038953
E939,ERS077654
E940,ERS038954
E941,ERS077655
E943,ERS044499
E944,ERS077656
E945,ERS077657
E947,ERS077658
E949,ERS077659
E952,ERS077660
E953,ERS038955
E955,ERS077661
E956,ERS077662
E957,ERS136430
E978,ERS077664
E986,ERS038956
E995,ERS127431
E996,ERS077665
E998,ERS077666
E1003,ERS044500
E1009,ERS044501
E1018,ERS055619
E1034,ERS038957
E1057,ERS077667
E1072,ERS077668
E1074,ERS038958
E1085,ERS038959
E1091,ERS038960
E1101,ERS077669
E1102,ERS077670
E1111,ERS038961
E1114,ERS206736
E1115,ERS206737
E1116,ERS206738
E1117,ERS206739
E1118,ERS206740
E1119,ERS206741
E1120,ERS206742
E1121,ERS206743
E1122,ERS206744
E1167,ERS077671
E1169,ERS077672
E1189,ERS038962
E1193,ERS077673
E1242,ERS077674
E1245,ERS038963
E1248,ERS077675
E1258,ERS077676
E1264,ERS077677
E1281,ERS077678
E1282,ERS077679
E1285,ERS077680
E1287,ERS038964
E1298,ERS038965
E1316,ERS127432
E1328,ERS206745
E1329,ERS206746
E1334,ERS055620
E1352,ERS077681
E1355,ERS077682
E1356,ERS077683
E1360,ERS139284
E1362,ERS077685
E1363,ERS055622
E1365,ERS077686
E1373,ERS038966
E1392,ERS038967
E1398,ERS077687
E1407,ERS077688
E1433,ERS055624
E1441,ERS206747
E1442,ERS206748
E1460,ERS055625
E1484,ERS206752
E1512,ERS206753
E1516,ERS206754
E1523,ERS206755
E1524,ERS055626
E1525,ERS077692
E1526,ERS077693
E1527,ERS055627
E1532,ERS077694
E1533,ERS077695
E1534,ERS077696
E1535,ERS055628
E1541,ERS038968
E1542,ERS077697
E1543,ERS077698
E1544,ERS077699
E1548,ERS038969
E1556,ERS077700
E1561,ERS077701
E1564,ERS077702
E1573,ERS077704
E1574,ERS077705
E1576,ERS077706
E1580,ERS077707
E1581,ERS077708
E1582,ERS077709
E1585,ERS077710
E1586,ERS077711
E1587,ERS077712
E1592,ERS077714
E1593,ERS055629
E1594,ERS077715
E1596,ERS077716
E1597,ERS077717
E1599,ERS077718
E1600,ERS077720
E1604,ERS077721
E1607,ERS077722
E1609,ERS077723
E1611,ERS077724
E1615,ERS077725
E1616,ERS077726
E1617,ERS077727
E1620,ERS055630
E1623,ERS077728
E1624,ERS038970
E1625,ERS077729
E1628,ERS077730
E1634,ERS077731
E1635,ERS055631
E1637,ERS077732
E1638,ERS077733
E1640,ERS077734
E1641,ERS077735
E1642,ERS077736
E1646,ERS038971
E1647,ERS077737
E1648,ERS077738
E1649,ERS055632
E1650,ERS077739
E1654,ERS044454
E1657,ERS055633
E1659,ERS077740
E1661,ERS077741
E1666,ERS077742
E1667,ERS055634
E1673,ERS077744
E1674,ERS077745
E1679,ERS163315
E1682,ERS077747
E1684,ERS077748
E1690,ERS077749
E1712,ERS077750
E1716,ERS038972
E1724,ERS055635
E1735,ERS077751
E1736,ERS077752
E1739,ERS077753
E1741,ERS055636
E1744,ERS077754
E1750,ERS055637
E1752,ERS077755
E1760,ERS055638
E1779,ERS038973
E1784,ERS038974
E1795,ERS055639
E1797,ERS055640
E1841,ERS055641
E1871,ERS077756
E1883,ERS055642
E1918,ERS055643
E1939,ERS055644
E1947,ERS055645
E1961,ERS077757
E1994,ERS055646
E2088,ERS055647
E2092,ERS055648
E2108,ERS077758
E2110,ERS077759
E2118,ERS055649
E2121,ERS077760
E2131,ERS055650
E2185,ERS055651
E2219,ERS055652
E2256,ERS055653
E2339,ERS055654
E2347,ERS055655
E2348,ERS055656
E2362,ERS139286
E2367,ERS077762
E2370,ERS163317
E2371,ERS077764
E2377,ERS077765
E2386,ERS055657
E2388,ERS077766
E2392,ERS077767
E2393,ERS077768
E2395,ERS077769
E2397,ERS055658
E2404,ERS077770
E2405,ERS077771
E2439,ERS136438
E2980,ERS055659
E2981,ERS139299
E3015,ERS077773
E4134,ERS077774
E5049,ERS055663
E5051,ERS055664
E5052,ERS055665
E5080,ERS055666
E5081,ERS055667
E5082,ERS055668
E5084,ERS055669
E5085,ERS055670
E5086,ERS055671
E5087,ERS055672
E5088,ERS055673
E5089,ERS136435
E1429tiny,ERS163313
E1432G,ERS136432
E1432w,ERS136512
