Isolate,Phylogroup,MLST,Lineage,O_antigen,Toxin,CF_profile,Year,Country,Continent,Subjet,Age,Diarrhea/Asymptomatic/Environmental
E1535,A,2353,L1,O6,LT+STh,CS1+CS3+CS21,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1620,A,6,L1,O6,LT+STh,CS1+CS3+CS21,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1541,B1,173,L3,O78,STh,CFA/I+CS21,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1587,B1,173,L3,O78,STh,CFA/I+CS21,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1592,B1,173,L3,O128,LT,CS7,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1548,A,2332,L6,ON3,STh,CFA/I+CS21,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1604,A,2332,L6,ON3,STh,CFA/I+CS21,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1542,A,1303,L11,ON5,LT,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1556,A,731,L12,O15,LT,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1561,A,731,L12,O15,LT,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1596,A,731,L12,O15,LT,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1525,A,750,L13,OSB16,LT+STh,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1574,A,750,L13,OSB16,LT,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1580,A,165,L13,O160,LT+STp,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1581,A,10,L13,OSB16,LT,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1582,A,100,L13,O179,LT,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1585,A,3860,L13,O170,LT,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1600,A,100,L13,O112ab,LT,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1615,A,100,L13,O112ab,LT,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1532,A,10,L15,O159,LT,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1573,A,10,L15,O159,LT,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1594,A,10,L15,ON5,ST,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1524,A,n.i.,L16,n.i.,STh,CS14,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1526,A,23,L16,ON5,ST,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1607,A,23,L16,O78,LT,CS14,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1611,A,88,L16,O8 and O104,LT,CS6,1989,Argentina,South America,Indigenous,Child <5 yrs,D
E1576,B1,940,L20,O64,LT,CF NEG,1989,Argentina,South America,Indigenous,Child <5 yrs,D
