"Sample name","Sample accession","Lane name","Lane accession"
2796STDY5610911,ERS356741,11657_5#1,ERR434259
2796STDY5610919,ERS356749,11657_5#2,ERR434260
2796STDY5610925,ERS356755,11657_5#3,ERR434261
2796STDY5610941,ERS356771,11657_5#4,ERR434262
2796STDY5610958,ERS356788,11657_5#5,ERR434263
2796STDY5611044,ERS356873,11657_5#6,ERR434264
2796STDY5611050,ERS356879,11657_5#7,ERR434265
2796STDY5611067,ERS356896,11657_5#8,ERR434266
2796STDY5611077,ERS356906,11657_5#9,ERR434267
2796STDY5611100,ERS356929,11657_5#10,ERR434268
2796STDY5611107,ERS356935,11657_5#11,ERR434269
2796STDY5611110,ERS356938,11657_5#12,ERR434270
2796STDY5611113,ERS356941,11657_5#13,ERR434271
2796STDY5611140,ERS356967,11657_5#14,ERR434272
2796STDY5611157,ERS356984,11657_5#15,ERR434273
2796STDY5611168,ERS356995,11657_5#16,ERR434274
2796STDY5611189,ERS357016,11657_5#17,ERR434275
2796STDY5611190,ERS357017,11657_5#18,ERR434276
2796STDY5611195,ERS357022,11657_5#19,ERR434277
2796STDY5611205,ERS357031,11657_5#20,ERR434278
2796STDY5611254,ERS357080,11657_5#21,ERR434279
2796STDY5611301,ERS357117,11657_5#22,ERR434280
2796STDY5611302,ERS357118,11657_5#23,ERR434281
2796STDY5611325,ERS357141,11657_5#24,ERR434282
2796STDY5611368,ERS357184,11657_5#25,ERR434283
2796STDY5611371,ERS357187,11657_5#26,ERR434284
2796STDY5611384,ERS357200,11657_5#27,ERR434285
2796STDY5611394,ERS357205,11657_5#28,ERR434286
2796STDY5611411,ERS357221,11657_5#29,ERR434287
2796STDY5611412,ERS357222,11657_5#30,ERR434288
2796STDY5611434,ERS357244,11657_5#31,ERR434289
2796STDY5611437,ERS357247,11657_5#32,ERR434290
2796STDY5611440,ERS357250,11657_5#33,ERR434291
2796STDY5611446,ERS357256,11657_5#34,ERR434292
2796STDY5611448,ERS357258,11657_5#35,ERR434293
2796STDY5611466,ERS357276,11657_5#36,ERR434294
2796STDY5611467,ERS357277,11657_5#37,ERR434295
2796STDY5611475,ERS357285,11657_5#38,ERR434296
2796STDY5611568,ERS357377,11657_5#39,ERR434297
2796STDY5611572,ERS357380,11657_5#40,ERR434298
2796STDY5611573,ERS357381,11657_5#41,ERR434299
2796STDY5611584,ERS357387,11657_5#42,ERR434300
2796STDY5611597,ERS357400,11657_5#43,ERR434301
2796STDY5611621,ERS357424,11657_5#44,ERR434302
2796STDY5611718,ERS357519,11657_5#46,ERR434304
2796STDY5611749,ERS357550,11657_5#47,ERR434305
2796STDY5611767,ERS357568,11657_5#48,ERR434306
2796STDY5611791,ERS357591,11657_5#49,ERR434307
2796STDY5611811,ERS357611,11657_5#50,ERR434308
2796STDY5611824,ERS357624,11657_5#51,ERR434309
2796STDY5611827,ERS357627,11657_5#52,ERR434310
2796STDY5611842,ERS357642,11657_5#53,ERR434311
2796STDY5611860,ERS357660,11657_5#54,ERR434312
2796STDY5611878,ERS357675,11657_5#55,ERR434313
2796STDY5611884,ERS357681,11657_5#56,ERR434314
2796STDY5611888,ERS357685,11657_5#57,ERR434315
2796STDY5611927,ERS357724,11657_5#58,ERR434316
2796STDY5611928,ERS357725,11657_5#59,ERR434317
2796STDY5611930,ERS357727,11657_5#60,ERR434318
2796STDY5611942,ERS357739,11657_5#61,ERR434319
2796STDY5611966,ERS357762,11657_5#62,ERR434320
2796STDY5611974,ERS357768,11657_5#63,ERR434321
2796STDY5611981,ERS357775,11657_5#64,ERR434322
2796STDY5611984,ERS357778,11657_5#65,ERR434323
2796STDY5611986,ERS357779,11657_5#66,ERR434324
2796STDY5611987,ERS357780,11657_5#67,ERR434325
2796STDY5611992,ERS357785,11657_5#68,ERR434326
2796STDY5612003,ERS357796,11657_5#69,ERR434327
2796STDY5612004,ERS357797,11657_5#70,ERR434328
2796STDY5612064,ERS357848,11657_5#71,ERR434329
2796STDY5612087,ERS357871,11657_5#72,ERR434330
2796STDY5612104,ERS357888,11657_5#73,ERR434331
2796STDY5612119,ERS357903,11657_5#74,ERR434332
2796STDY5612132,ERS357916,11657_5#75,ERR434333
2796STDY5612158,ERS357941,11657_5#76,ERR434334
2796STDY5612177,ERS357960,11657_5#77,ERR434335
2796STDY5612206,ERS357989,11657_5#78,ERR434336
2796STDY5612210,ERS357993,11657_5#79,ERR434337
2796STDY5612222,ERS358005,11657_5#80,ERR434338
2796STDY5612228,ERS358011,11657_5#81,ERR434339
2796STDY5612246,ERS358029,11657_5#82,ERR434340
2796STDY5612250,ERS358033,11657_5#83,ERR434341
2796STDY5612254,ERS358036,11657_5#84,ERR434342
2796STDY5612273,ERS358055,11657_5#85,ERR434343
2796STDY5612282,ERS358064,11657_5#86,ERR434344
2796STDY5612286,ERS358068,11657_5#87,ERR434345
2796STDY5612289,ERS358071,11657_5#88,ERR434346
2796STDY5612291,ERS358073,11657_5#89,ERR434347
2796STDY5612292,ERS358074,11657_5#90,ERR434348
2796STDY5612299,ERS358081,11657_5#91,ERR434349
2796STDY5612314,ERS358096,11657_5#92,ERR434350
2796STDY5612334,ERS358116,11657_5#93,ERR434351
2796STDY5612385,ERS358166,11657_5#94,ERR434352
2796STDY5612391,ERS358172,11657_5#95,ERR434353
2796STDY5612462,ERS358242,11657_5#96,ERR434354
2796STDY5610942,ERS356772,11657_6#1,ERR434355
