identifier, reads, source
nc_002655,PRJNA259,hazen2013
nc_002695,PRJNA57781,hazen2013
nc_011353,PRJNA27739,hazen2013
nc_013008,PRJNA30045,hazen2013
aifk00000000,PRJNA50935,hazen2013
aifl00000000,PRJNA50937,hazen2013
aifm00000000,PRJNA50939,hazen2013
aifn00000000,PRJNA50941,hazen2013
aifo00000000,PRJNA50943,hazen2013
86-24,AIAK00000000,hazen2013?
C842-97,AIBY00000000,hazen2013?
C354-03B,AIAW00000000,hazen2013?
nc_013941,PRJNA42729,hazen2013
aifq00000000,PRJNA50947,hazen2013
aifr00000000,PRJNA50949,hazen2013
aifs00000000,PRJNA50951,hazen2013
aift00000000,PRJNA50953,hazen2013
aifu00000000,PRJNA50955,hazen2013
C12-92,AIAE00000000,hazen2013?
C1244-91,AIAD00000000,hazen2013?
C154-11,AIAF00000000,hazen2013?
C157-11,AIAH00000000,hazen2013?
nc_013364,PRJDA32513,hazen2013
nc_013361,PRJDA32509,hazen2013
aicg00000000,PRJNA81127,hazen2013
aduq00000000,PRJNA40289,hazen2013
EHEC14,ADUN00000000,hazen2013?
aigk00000000,PRJNA50989,hazen2013
aigl00000000,PRJNA50991,hazen2013
aigm00000000,PRJNA50993,hazen2013
aign00000000,PRJNA50995,hazen2013
aigo00000000,PRJNA50997,hazen2013
C1214-90,AIAC00000000,hazen2013?
C792-92,AIBR00000000,hazen2013?
C799-92,AIBT00000000,hazen2013?
C347-93,AIAU00000000,hazen2013?
C654-09,AIBJ00000000,hazen2013?
C717-10,AIBK00000000,hazen2013?
C824-10,AIBX00000000,hazen2013?
C155-11,AIAG00000000,hazen2013?
C166-11,AICF00000000,hazen2013?
nc_011601,PRJEA32571,hazen2013
2362-75,ADUL01000000,hazen2013?
alnx00000000,PRJNA40277,hazen2013
akyh00000000,PRJNA40271,hazen2013
aiev00000000,PRJNA50903,hazen2013
aiew00000000,PRJNA50905,hazen2013
aiex00000000,PRJNA50907,hazen2013
aiey00000000,PRJNA50909,hazen2013
aiez00000000,PRJNA50911,hazen2013
aifa00000000,PRJNA50913,hazen2013
DEC2B,AJFB00000000,hazen2013?
aifb00000000,PRJNA50917,hazen2013
aifc00000000,PRJNA50919,hazen2013
aifd00000000,PRJNA50921,hazen2013
aajx00000000,PRJNA15630,hazen2013
32/73,SRS085191,hazen2013?
C342-62,SRS085190,hazen2013?
aduo00000000,PRJNA40269,hazen2013
nc_013353,PRJDA32511,hazen2013
aigv00000000,PRJNA51011,hazen2013
aigw00000000,PRJNA51013,hazen2013
aigx00000000,PRJNA51015,hazen2013
aigy00000000,PRJNA51017,hazen2013
aigz00000000,PRJNA51019,hazen2013
aiha00000000,PRJNA51021,hazen2013
aihb00000000,PRJNA51023,hazen2013
aihc00000000,PRJNA51025,hazen2013
aihd00000000,PRJNA51027,hazen2013
aihe00000000,PRJNA51029,hazen2013
aajv00000000,PRJNA15577,hazen2013
H.I.8.,AFDY00000000,hazen2013?
C900-01,AICC00000000,hazen2013?
C488-07,AIBA00000000,hazen2013?
C341-10,AIAS00000000,hazen2013?
C497-10,AIBC00000000,hazen2013?
C82-11,AIBW00000000,hazen2013?
C170-11,AIAJ00000000,hazen2013?
C2139-99,AIAM00000000,hazen2013?
