Murray Collection Identifier	Alternative NCTC accession number (if applicable)	Strain name	Date on  tube 	Year	Genus	Designation	Origin	Colony variants (Canada) 	Original number	Date freeze-dried in NCTC 	Colony derivatives (UK)	Equivalence group	No. of plasmids	Plasmid A MW	Plasmid B MW	Plasmid C MW	Plasmid D MW	Plasmid E MW	Plasmid F MW	Plasmid G MW	16S rRNA ID result	MALDI-TOF ID Result	Positive Polyvalent antisera	Sequenced (see Table S2)
M1		Stokes	04/08/1925	1925	Salmonella	S.enteritidis 		Large variant	1L 	01/09/1980		M1 M2 M479 M483 M484	4	87	74	59	35				Salmonella enterica	Salmonella sp	N/A	Yes
M10		Aertrycke 	04/08/1925	1925	Salmonella	S. typhimurium 			10	01/09/1980			1	47							Salmonella enterica	Salmonella sp	N/A	Yes
M100		Strain I H 1911 Lepine	01/04/1943	1943	Salmonella	S. paratyphi B 	Stool		100	15/09/1980		M100 M288 M352 M353	0										N/A	No
M101		D 1980 	17/12/1940	1940	Salmonella	S. sp. 			101	03/09/1980			1	48										No
M102		CMH 22114	16/05/1941	1941	Salmonella	S. sp. 	Stool	IE variant (IE not defined)	102 IE	03/09/1980		M102 M103	ND											No
M103		F. Martin 	16/05/1941	1941	Salmonella	S. sp. 	Stool	EE variant (EE not defined) 	103 EE	15/09/1980		M102 M103 	0											No
M104		E 3727 Currie	12/09/1940	1940	Salmonella	S. paratyphi C 	Stool		104	15/09/1980			0										N/A	Yes
M105		"Strain II, H 1883 Poppe"	01/04/1943	1943	Salmonella	S. paratyphi B	Stool		105	15/09/1980		M105 M107 	0										N/A	Yes
M106		Strain I H 1864 Rainsville	01/04/1943	1943	Salmonella	S. paratyphi B 	Stool		106	15/09/1980			0										N/A	Yes
M107		Strain I H 1883 Poppe	01/04/1943	1943	Salmonella	S. paratyphi B 	Stool		107	15/09/1980		M105 M107 	0										N/A	No
M108		48013	05/04/1940	1940	Klebsiella	Kl. sp. 	Peripelvic abscess		108	03/09/1980			4	70	54	24	1.2				Escherichia coli	Escherichia coli	N/A	Yes
M109	13674	Beattie's strain	09/01/1932	1932	Klebsiella	Kl. sp Friedlanders			109	03/09/1980			0								Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M11		C M H 7486 	02/05/1937	1937	Salmonella	S. typhi	Blood culture		11	15/09/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M110		Gettings 10	25/10/1918	1918	Shigella	Sh. flexneri Y			110	03/09/1980			1	72							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M111		Willy 	06/09/1918	1918	Shigella	Sh. flexneri Oxford			111	03/09/1980			ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
