"Sample name","Sample accession","Lane name","Lane accession"
3012STDY5814530,ERS451419,27557_C01,ERR550495
3012STDY5814530,ERS451419,27731_A01,ERR550504
3012STDY5843424,ERS462976,28193_A01,ERR581150
3012STDY5843424,ERS462976,28237_A01,ERR581166
3012STDY5843424,ERS462976,28237_A02,ERR581165
3012STDY5843424,ERS462976,28745_C01,ERR597264
3012STDY5843424,ERS462976,28771_C01,ERR597274
3012STDY5851787,ERS473442,28824_D01,ERR601556
3012STDY5851787,ERS473442,28863_F01,ERR601564
3012STDY5906028,ERS513139,31289_C01,ERR688915
3012STDY5912545,ERS523573,31340_D01,ERR688930
3012STDY5912553,ERS523581,31354_F01,ERR688939
3012STDY5912557,ERS523585,31436_C01,ERR688943
3012STDY5912558,ERS523586,31436_D01,ERR688944
3012STDY5912545,ERS523573,31530_E01,ERR688951
3012STDY5959774,ERS530411,31885_A02,ERR695655
3012STDY5912571,ERS523599,31885_C02,ERR695653
3012STDY5959775,ERS530412,31885_H01,ERR695656
3012STDY5959775,ERS530412,32117_C02,ERR704373
3012STDY5912571,ERS523599,32117_D02,ERR704372
3012STDY5959778,ERS530415,32407_A01,ERR710262
3012STDY5959781,ERS530418,32407_D01,ERR710265
3012STDY5959792,ERS530429,32473_A02,ERR718772
3012STDY5959797,ERS530434,32473_D01,ERR718777
3012STDY5959796,ERS530433,32473_E01,ERR718776
3012STDY5959794,ERS530431,32473_G01,ERR718774
3012STDY5959798,ERS530435,32512_A01,ERR718778
3012STDY5959803,ERS530440,32512_F01,ERR718783
3012STDY5959794,ERS530431,32635_B01,ERR718786
3012STDY5959794,ERS530431,32752_B01,ERR718789
3012STDY5968418,ERS538528,32868_A02,ERR731660
3012STDY5968425,ERS538535,32868_B01,ERR731667
3012STDY5968417,ERS538527,32868_B02,ERR731659
3012STDY5968416,ERS538526,32868_C02,ERR731658
3012STDY5968423,ERS538533,32868_D01,ERR731665
3012STDY5968420,ERS538530,32868_G01,ERR731662
3012STDY5968419,ERS538529,32868_H01,ERR731661
3012STDY5968423,ERS538533,33119_H01,ERR738334
3012STDY6050603,ERS659568,35910_C01,ERR879383
3012STDY6050609,ERS659574,36005_D01,ERR879389
3012STDY6050610,ERS659575,36005_E01,ERR879390
3012STDY6058760,ERS670325,36603_C01,ERR906330
3012STDY6058761,ERS670326,36603_D01,ERR906331
3012STDY6067121,ERS685290,36725_A02,ERR910536
3012STDY6067128,ERS685297,36725_B01,ERR910543
3012STDY6067116,ERS685289,36725_B02,ERR910535
3012STDY6067127,ERS685296,36725_C01,ERR910542
3012STDY6067123,ERS685292,36725_G01,ERR910538
3012STDY6067122,ERS685291,36725_H01,ERR910537
3012STDY6067129,ERS685298,36725_H02,ERR910544
3012STDY6067130,ERS685299,36734_A01,ERR910545
3012STDY6050610,ERS659575,37277_E01,ERR926630
3012STDY6083185,ERS701895,37419_G02,ERR950056
3012STDY6087902,ERS702126,37419_H01,ERR950063
3012STDY6099045,ERS715398,38109_E01,ERR968267
3012STDY6099061,ERS715414,38129_G01,ERR968279
3012STDY6099058,ERS715411,38187_D01,ERR968281
3012STDY6099045,ERS715398,38273_D01,ERR972342
3012STDY6099065,ERS715418,38344_A02,ERR972351
3012STDY6099066,ERS715419,38344_B02,ERR972352
3012STDY6099067,ERS715420,38344_C02,ERR972353
3012STDY6099059,ERS715412,38344_D01,ERR972346
3012STDY6099068,ERS715421,38344_D02,ERR972354
3012STDY6099060,ERS715413,38344_E01,ERR972347
3012STDY6099069,ERS715422,38344_E02,ERR972355
3012STDY6099062,ERS715415,38344_F01,ERR972348
3012STDY6099070,ERS715423,38344_F02,ERR972356
3012STDY6099063,ERS715416,38344_G01,ERR972349
3012STDY6099071,ERS715424,38344_G02,ERR972357
3012STDY6099064,ERS715417,38344_H01,ERR972350
3012STDY6099072,ERS715425,38344_H02,ERR972358
3012STDY6099073,ERS715426,38351_B01,ERR972359
3012STDY6099074,ERS715427,38351_C01,ERR972360
3012STDY6099075,ERS715428,38351_D01,ERR972361
3012STDY6099076,ERS715429,38351_E01,ERR972362
3012STDY6099077,ERS715430,38351_F01,ERR972363
3012STDY6099078,ERS715431,38351_G01,ERR972364
3012STDY6099079,ERS715432,38389_A01,ERR972365
3012STDY6100906,ERS715463,38389_B01,ERR972366
3012STDY6100907,ERS715464,38389_C01,ERR972367
3012STDY6100908,ERS715465,38389_D01,ERR972368
3012STDY6100909,ERS715466,38389_E01,ERR972369
3012STDY6100910,ERS715467,38389_F01,ERR976756
3012STDY6100918,ERS715475,38445_G01,ERR976764
3012STDY6100919,ERS715476,38490_A01,ERR976765
3012STDY6100927,ERS715484,38490_A02,ERR976773
3012STDY6100920,ERS715477,38490_B01,ERR976766
3012STDY6100928,ERS715485,38490_B02,ERR976774
3012STDY6100921,ERS715478,38490_C01,ERR976767
3012STDY6100929,ERS715486,38490_C02,ERR976775
3012STDY6100922,ERS715479,38490_D01,ERR976768
3012STDY6100930,ERS715487,38490_D02,ERR976776
3012STDY6100923,ERS715480,38490_E01,ERR976769
3012STDY6104275,ERS718579,38490_E02,ERR976777
3012STDY6100924,ERS715481,38490_F01,ERR976770
3012STDY6104276,ERS718580,38490_F02,ERR976778
3012STDY6100925,ERS715482,38490_G01,ERR976771
3012STDY6104277,ERS718581,38490_G02,ERR976779
3012STDY6100926,ERS715483,38490_H01,ERR976772
3012STDY6104278,ERS718582,38490_H02,ERR976780
3012STDY6104283,ERS718587,38502_E01,ERR976785
3012STDY6104284,ERS718588,38502_F01,ERR976786
3012STDY6104285,ERS718589,38502_G01,ERR976787
3012STDY6104286,ERS718590,38656_A02,ERR980615
3012STDY6104287,ERS718591,38656_B02,ERR980616
3012STDY6104288,ERS718592,38656_C02,ERR980617
3012STDY6104289,ERS718593,38656_D02,ERR980618
3012STDY6104290,ERS718594,38656_E02,ERR980619
3012STDY6104291,ERS718595,38656_F02,ERR980620
3012STDY6104292,ERS718596,38656_G02,ERR980621
3012STDY6100925,ERS715482,38656_H02,ERR980622
3012STDY6104293,ERS718597,38670_A01,ERR980623
3012STDY6104294,ERS718598,38670_B01,ERR980624
3012STDY6104295,ERS718599,38670_C01,ERR980625
3012STDY6104296,ERS718600,38670_D01,ERR980626
3012STDY6104297,ERS718601,38670_E01,ERR980627
3012STDY6104298,ERS718602,38670_F01,ERR980628
3012STDY6104299,ERS718603,38670_G01,ERR980629
3012STDY6104274,ERS718578,38732_A01,ERR980630
