study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB6403	SAMEA3451122	ERS747596	ERX1095581	ERR1016521	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451123	ERS747597	ERX1095582	ERR1016522	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451124	ERS747598	ERX1095583	ERR1016523	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451125	ERS747599	ERX1095584	ERR1016524	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451126	ERS747600	ERX1095585	ERR1016525	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451127	ERS747601	ERX1095586	ERR1016526	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451128	ERS747602	ERX1095587	ERR1016527	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451129	ERS747603	ERX1095588	ERR1016528	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451130	ERS747604	ERX1095589	ERR1016529	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451131	ERS747605	ERX1095590	ERR1016530	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
