Species, nctc_name, ERS, ERR
Escherichia coli (o antigen series),NCTC9018,ERS1049099,ERR1366080
Escherichia coli (o antigen series),NCTC9020,ERS1049100,ERR1366081
Escherichia coli (o antigen series),NCTC9105,ERS1054579,ERR1377174
Escherichia coli (o antigen series),NCTC9113,ERS1054580,ERR1377175
Escherichia coli (o antigen series),NCTC10279,ERS1054581,ERR1377177
Escherichia coli serotypes: o antigen series,NCTC9037,ERS1049101,ERR1366082
Escherichia coli serotypes: o antigen series,NCTC9056,ERS1049102,ERR1366083
Escherichia coli,NCTC13167,ERS1003586,ERR1305743
Escherichia coli,NCTC8164,ERS1037094,ERR1354171
Escherichia coli,NCTC9064,ERS1049103,ERR1366084
Escherichia coli,NCTC9083,ERS1049104,ERR1377176
Escherichia coli,NCTC11181,ERS1123925,ERR1517155
Escherichia coli,NCTC10082,ERS1123933,ERR1543217
Escherichia coli,NCTC8959,ERS1123937,ERR1543220
Escherichia coli,NCTC9094,ERS1201850,ERR1612410
Escherichia coli,NCTC122,ERS1275668,ERR1787502
Escherichia coli,NCTC13846,ERS1324142,ERR1805697
Escherichia coli,NCTC12900,ERS1324157,ERR1820613
Escherichia coli,NCTC1093,ERS1436445,ERR1731817
Escherichia coli,NCTC11133,ERS1457008,ERR1749760
Escherichia coli,NCTC9001,ERS451419,ERR550495
Escherichia coli,NCTC11126,ERS462976,ERR581150
Escherichia coli,NCTC13400,ERS473442,ERR601556
Escherichia coli,NCTC10087,ERS513139,ERR688915
Escherichia coli,NCTC8009,ERS523573,ERR688930
Escherichia coli,NCTC8450,ERS523581,ERR688939
Escherichia coli,NCTC9078,ERS523585,ERR688943
Escherichia coli,NCTC9104,ERS523586,ERR688944
Escherichia coli,NCTC10418,ERS523599,ERR695653
Escherichia coli,NCTC10538,ERS530411,ERR695655
Escherichia coli,NCTC10650,ERS530412,ERR695656
Escherichia coli,NCTC10963,ERS530415,ERR710262
Escherichia coli,NCTC11105,ERS530418,ERR710265
Escherichia coli,NCTC12241,ERS530429,ERR718772
Escherichia coli,NCTC13216,ERS530431,ERR718774
Escherichia coli,NCTC13351,ERS530433,ERR718776
Escherichia coli,NCTC13353,ERS530434,ERR718777
Escherichia coli,NCTC13384,ERS530435,ERR718778
Escherichia coli,NCTC13441,ERS530440,ERR718783
Escherichia coli,NCTC13450,ERS538526,ERR731658
Escherichia coli,NCTC13451,ERS538527,ERR731659
Escherichia coli,NCTC13452,ERS538528,ERR731660
Escherichia coli,NCTC13462,ERS538529,ERR731661
Escherichia coli,NCTC13463,ERS538530,ERR731662
Escherichia coli,NCTC13476,ERS538533,ERR731665
Escherichia coli,NCTC13352,ERS538535,ERR731667
Escherichia coli,NCTC5934,ERS659568,ERR879383
Escherichia coli,NCTC10487,ERS670325,ERR906330
Escherichia coli,NCTC10764,ERS670326,ERR906331
Escherichia coli,NCTC7928,ERS685289,ERR910535
Escherichia coli,NCTC7152,ERS685290,ERR910536
Escherichia coli,NCTC7360,ERS685291,ERR910537
Escherichia coli,NCTC7926,ERS685292,ERR910538
Escherichia coli,NCTC9708,ERS685296,ERR910542
Escherichia coli,NCTC9775,ERS685297,ERR910543
Escherichia coli,NCTC9776,ERS685298,ERR910544
Escherichia coli,NCTC9778,ERS685299,ERR910545
Escherichia coli,NCTC9014,ERS701895,ERR950056
Escherichia coli,NCTC9024,ERS702126,ERR950063
Escherichia coli,NCTC7927,ERS715398,ERR972342
Escherichia coli,NCTC10430,ERS715411,ERR968281
Escherichia coli,NCTC10664,ERS715412,ERR972346
Escherichia coli,NCTC10758,ERS715413,ERR972347
Escherichia coli,NCTC10864,ERS715414,ERR968279
Escherichia coli,NCTC11023,ERS715415,ERR972348
