identifier,reads,source
aoqw00000000,SRR653770,chen2013
aoqw00000000,SRR653771,chen2013
aoqt00000000,SRR653762,chen2013
aoqt00000000,SRR653763,chen2013
aoqk00000000,SRR653744,chen2013
aoqk00000000,SRR653745,chen2013
aoqm00000000,SRR653748,chen2013
aoqm00000000,SRR653749,chen2013
aoqf00000000,SRR653723,chen2013
aoqf00000000,SRR653724,chen2013
aoqv00000000,SRR653768,chen2013
aoqv00000000,SRR653769,chen2013
aoqv00000000,SRR654062,chen2013
aoqs00000000,SRR653760,chen2013
aoqs00000000,SRR653761,chen2013
aoqd00000000,SRR653727,chen2013
aoqd00000000,SRR653728,chen2013
aoqj00000000,SRR653738,chen2013
aoqj00000000,SRR653739,chen2013
aoqz00000000,SRR653776,chen2013
aoqz00000000,SRR653777,chen2013
aoqo00000000,SRR653752,chen2013
aoqo00000000,SRR653753,chen2013
aoqu00000000,SRR653764,chen2013
aoqu00000000,SRR653765,chen2013
aoqn00000000,SRR653750,chen2013
aoqn00000000,SRR653751,chen2013
aoqh00000000,SRR653733,chen2013
aoqh00000000,SRR653734,chen2013
aoqb00000000,SRR652969,chen2013
aoqb00000000,SRR652970,chen2013
aoqr00000000,SRR653758,chen2013
aoqr00000000,SRR653759,chen2013
aoqx00000000,SRR653772,chen2013
aoqx00000000,SRR653773,chen2013
aoqc00000000,SRR653725,chen2013
aoqc00000000,SRR653726,chen2013
aoqg00000000,SRR653731,chen2013
aoqg00000000,SRR653732,chen2013
aoqp00000000,SRR653754,chen2013
aoqp00000000,SRR653755,chen2013
aoqp00000000,SRR654061,chen2013
aoqe00000000,SRR653729,chen2013
aoqe00000000,SRR653730,chen2013
aoqi00000000,SRR653736,chen2013
aoqi00000000,SRR653737,chen2013
aoqy00000000,SRR653774,chen2013
aoqy00000000,SRR653775,chen2013
aoqq00000000,SRR653756,chen2013
aoqq00000000,SRR653757,chen2013
aoql00000000,SRR653746,chen2013
aoql00000000,SRR653747,chen2013
esc_ga3669aa_as,SRR3241834,enterobase
esc_ka5585aa_as,SRR5024483,enterobase
esc_sa6127aa_as,SRR7291019,enterobase
esc_qa2083aa_as,SRR6176847,enterobase
esc_sa5342aa_as,SRR7283759,enterobase
esc_pa5098aa_as,SRR6051922,enterobase
esc_ca2042aa_as,SRR2127285,enterobase
esc_ca2042aa_as,SRR2127436,enterobase
esc_ca2042aa_as,SRR2135193,enterobase
esc_ca2042aa_as,SRR2135279,enterobase
esc_sa2761aa_as,SRR7204363,enterobase
esc_ga8911aa_as,SRR3581332,enterobase
esc_sa6749aa_as,SRR7367234,enterobase
esc_sa5804aa_as,SRR7285703,enterobase
esc_ba4091aa_as,SRR2015123,enterobase
esc_ja3920aa_as,SRR4897413,enterobase
esc_sa3540aa_as,SRR7230246,enterobase
esc_sa5123aa_as,SRR7277792,enterobase
esc_ja7686aa_as,SRR5005332,enterobase
esc_pa4936aa_as,SRR6051837,enterobase
esc_ba0117aa_as,ERR161305,enterobase
esc_ja5465aa_as,SRR5006359,enterobase
esc_sa4314aa_as,SRR7251003,enterobase
esc_pa5065aa_as,SRR6051884,enterobase
esc_ia1273aa_as,SRR4181548,enterobase
esc_ja7659aa_as,SRR5005536,enterobase
esc_ja3887aa_as,SRR4897324,enterobase
esc_ja8745aa_as,SRR5023833,enterobase
esc_ha7985aa_as,SRR3974850,enterobase
esc_ja3953aa_as,SRR4897478,enterobase
esc_ha0922aa_as,SRR3545392,enterobase
esc_ja5069aa_as,SRR5006045,enterobase
esc_la4763aa_as,SRR5292174,enterobase
esc_oa0200aa_as,SRR5666400,enterobase
esc_ja4780aa_as,SRR4788210,enterobase
esc_ha8231aa_as,SRR3987589,enterobase
esc_ga9455aa_as,SRR3579399,enterobase
esc_ja4382aa_as,SRR4786372,enterobase
esc_ja4644aa_as,SRR4787787,enterobase
esc_ia1133aa_as,SRR4176978,enterobase
esc_ca0411aa_as,SRR1981407,enterobase
esc_pa5218aa_as,SRR6052047,enterobase
esc_sa6206aa_as,SRR7291909,enterobase
esc_sa5329aa_as,SRR7283736,enterobase
esc_ja4427aa_as,SRR4786896,enterobase
esc_la4424aa_as,SRR5280688,enterobase
esc_ga9370aa_as,SRR3578948,enterobase
esc_ja4397aa_as,SRR4786559,enterobase
esc_ia1281aa_as,SRR4181566,enterobase
esc_ga8058aa_as,SRR3545398,enterobase
esc_ca2121aa_as,SRR1981089,enterobase
esc_ka3859aa_as,SRR5023949,enterobase
esc_sa5203aa_as,SRR7278084,enterobase
esc_ga7656aa_as,SRR3541144,enterobase
esc_ka7575aa_as,SRR5082115,enterobase
esc_ca2026aa_as,SRR1981570,enterobase
esc_ja4391aa_as,SRR4786506,enterobase
esc_ja3954aa_as,SRR4897479,enterobase
esc_pa2430aa_as,SRR5998780,enterobase
esc_ja3775aa_as,SRR4897097,enterobase
esc_sa2378aa_as,SRR7191858,enterobase
esc_sa6118aa_as,SRR7291007,enterobase
esc_sa2389aa_as,SRR7191700,enterobase
esc_ba6200aa_as,SRR770153,enterobase
esc_ba6200aa_as,SRR784504,enterobase
esc_ba6200aa_as,SRR958370,enterobase
esc_ba6200aa_as,SRR958371,enterobase
esc_ca1758aa_as,SRR783974,enterobase
esc_ca1758aa_as,SRR783975,enterobase
esc_ca1758aa_as,SRR800429,enterobase
esc_ca1758aa_as,SRR800565,enterobase
esc_ha3305aa_as,SRR3773976,enterobase
esc_qa2878aa_as,SRR6185864,enterobase
esc_ha4017aa_as,SRR2178218,enterobase
esc_sa4730aa_as,SRR7265869,enterobase
esc_ba3944aa_as,SRR1981021,enterobase
