"Sample name","Sample accession","Lane name","Lane accession"
2796STDY5611050,ERS356879,11657_5#7,ERR434265
2796STDY5611107,ERS356935,11657_5#11,ERR434269
2796STDY5611113,ERS356941,11657_5#13,ERR434271
2796STDY5611301,ERS357117,11657_5#22,ERR434280
2796STDY5611325,ERS357141,11657_5#24,ERR434282
2796STDY5611718,ERS357519,11657_5#46,ERR434304
2796STDY5611942,ERS357739,11657_5#61,ERR434319
2796STDY5612222,ERS358005,11657_5#80,ERR434338
2796STDY5612291,ERS358073,11657_5#89,ERR434347
2796STDY5612314,ERS358096,11657_5#92,ERR434350
2796STDY5612385,ERS358166,11657_5#94,ERR434352
2796STDY5611103,ERS356931,11657_6#7,ERR434361
2796STDY5611123,ERS356950,11657_6#11,ERR434365
2796STDY5611138,ERS356965,11657_6#14,ERR434368
2796STDY5611145,ERS356972,11657_6#16,ERR434370
2796STDY5611319,ERS357135,11657_6#23,ERR434377
2796STDY5611552,ERS357361,11657_6#37,ERR434391
2796STDY5611809,ERS357609,11657_6#47,ERR434401
2796STDY5611882,ERS357679,11657_6#51,ERR434405
2796STDY5612012,ERS357805,11657_6#63,ERR434417
2796STDY5612014,ERS357807,11657_6#64,ERR434418
2796STDY5612030,ERS357822,11657_6#65,ERR434419
2796STDY5612065,ERS357849,11657_6#67,ERR434421
2796STDY5612180,ERS357963,11657_6#72,ERR434426
2796STDY5612386,ERS358167,11657_6#91,ERR434445
2796STDY5612439,ERS358220,11657_6#94,ERR434448
2796STDY5612473,ERS358253,11657_6#96,ERR434450
2796STDY5611134,ERS356961,11657_7#7,ERR434457
2796STDY5611144,ERS356971,11657_7#12,ERR434462
2796STDY5611310,ERS357126,11657_7#21,ERR434471
2796STDY5611313,ERS357129,11657_7#22,ERR434472
2796STDY5611317,ERS357133,11657_7#23,ERR434473
2796STDY5611823,ERS357623,11657_7#47,ERR434497
2796STDY5611892,ERS357689,11657_7#52,ERR434502
2796STDY5611905,ERS357702,11657_7#53,ERR434503
2796STDY5611911,ERS357708,11657_7#54,ERR434504
2796STDY5611917,ERS357714,11657_7#55,ERR434505
2796STDY5611921,ERS357718,11657_7#56,ERR434506
2796STDY5611940,ERS357737,11657_7#57,ERR434507
2796STDY5611945,ERS357742,11657_7#58,ERR434508
2796STDY5611952,ERS357749,11657_7#59,ERR434509
2796STDY5612055,ERS357845,11657_7#66,ERR434516
2796STDY5612093,ERS357877,11657_7#70,ERR434520
2796STDY5612113,ERS357897,11657_7#73,ERR434523
2796STDY5612127,ERS357911,11657_7#77,ERR434527
2796STDY5612133,ERS357917,11657_7#78,ERR434528
2796STDY5612369,ERS358150,11657_7#89,ERR434539
2796STDY5612491,ERS358269,11657_7#95,ERR434545
2796STDY5611119,ERS356947,11658_3#4,ERR434550
2796STDY5611159,ERS356986,11658_3#8,ERR434554
2796STDY5611332,ERS357148,11658_3#15,ERR434561
2796STDY5611334,ERS357150,11658_3#16,ERR434562
2796STDY5611339,ERS357155,11658_3#18,ERR434564
2796STDY5611556,ERS357365,11658_3#31,ERR434577
2796STDY5611788,ERS357588,11658_3#36,ERR434582
2796STDY5611825,ERS357625,11658_3#38,ERR434584
2796STDY5611891,ERS357688,11658_3#41,ERR434587
2796STDY5611896,ERS357693,11658_3#42,ERR434588
2796STDY5612039,ERS357831,11658_3#55,ERR434601
2796STDY5612040,ERS357832,11658_3#56,ERR434602
2796STDY5612193,ERS357976,11658_3#70,ERR434616
2796STDY5612227,ERS358010,11658_3#74,ERR434620
2796STDY5612356,ERS358137,11658_3#86,ERR434632
2796STDY5612475,ERS358255,11658_3#94,ERR434640
2796STDY5610996,ERS356826,11658_4#7,ERR434649
2796STDY5611073,ERS356902,11658_4#18,ERR434660
2796STDY5611256,ERS357082,11658_4#22,ERR434664
2796STDY5611604,ERS357407,11658_4#43,ERR434685
2796STDY5611709,ERS357510,11658_4#48,ERR434690
2796STDY5611775,ERS357575,11658_4#57,ERR434699
2796STDY5611838,ERS357638,11658_4#60,ERR434702
2796STDY5611847,ERS357647,11658_4#61,ERR434703
2796STDY5612005,ERS357798,11658_4#65,ERR434707
2796STDY5612009,ERS357802,11658_4#66,ERR434708
2796STDY5612136,ERS357920,11658_4#74,ERR434716
2796STDY5612155,ERS357939,11658_4#77,ERR434719
2796STDY5612178,ERS357961,11658_4#80,ERR434722
2796STDY5612185,ERS357968,11658_4#81,ERR434723
2796STDY5612205,ERS357988,11658_4#85,ERR434727
2796STDY5610914,ERS356744,11658_5#2,ERR434740
2796STDY5610922,ERS356752,11658_5#5,ERR434743
2796STDY5610945,ERS356775,11658_5#11,ERR434749
2796STDY5610957,ERS356787,11658_5#14,ERR434752
2796STDY5611001,ERS356831,11658_5#19,ERR434757
2796STDY5611021,ERS356850,11658_5#26,ERR434764
2796STDY5611026,ERS356855,11658_5#28,ERR434766
2796STDY5611046,ERS356875,11658_5#32,ERR434770
2796STDY5611087,ERS356916,11658_5#41,ERR434779
2796STDY5611098,ERS356927,11658_5#42,ERR434780
2796STDY5611209,ERS357035,11658_5#44,ERR434782
2796STDY5611267,ERS357093,11658_5#53,ERR434791
2796STDY5611287,ERS357104,11658_5#57,ERR434795
2796STDY5611591,ERS357394,11658_5#66,ERR434804
2796STDY5611765,ERS357566,11658_5#87,ERR434825
