ID, file_name,cds,trna,hypothetical protein,transposase,pseudogene,conjuga,phage,fimbrial,plasmid,crispr,resistance,virulence,secretion system
esc_ca4458aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca4458aa_as.fasta.gff,5117,72,795,69,0,10,388,75,32,11,128,12,66
esc_ca5810aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca5810aa_as.fasta.gff,5083,65,803,51,0,22,385,69,35,11,122,10,74
11657_7#79,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11657_7#79.gff,4736,80,730,33,0,22,338,50,30,28,110,8,64
esc_sa7073aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome/annot/SRR7407949_trimmed.gff,5125,83,868,69,0,61,398,70,50,11,108,12,41
srs3528668,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/annot/SRR7500929_trimmed.velvet.gff,4179,69,606,37,0,1,94,73,10,6,107,9,21
esc_sa7069aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome/annot/SRR7407945_trimmed.gff,4936,76,764,62,0,8,368,67,25,11,118,10,64
esc_sa7070aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome/annot/SRR7407946_trimmed.gff,4930,74,763,62,0,9,342,72,31,11,119,11,66
esc_sa7071aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome/annot/SRR7407947_trimmed.gff,4832,75,786,60,0,19,304,67,29,11,116,9,67
esc_sa7067aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome/annot/SRR7407940_trimmed.gff,4947,83,731,57,0,22,371,70,28,13,114,13,53
esc_ca5629aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca5629aa_as.fasta.gff,5002,77,765,63,0,9,349,69,32,11,124,10,66
esc_ba9990aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ba9990aa_as.fasta.gff,4363,62,639,39,0,2,156,70,14,11,106,9,54
esc_ca3679aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca3679aa_as.fasta.gff,4584,74,704,48,0,46,201,60,27,12,115,9,73
srs1808079,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR5034944_trimmed.velvet.gff,4894,79,871,62,0,10,311,66,32,11,109,8,62
srs1808082,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR5034947_trimmed.velvet.gff,4888,81,822,59,0,9,317,68,31,11,116,10,67
srs1808075,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR5034940_trimmed.velvet.gff,4907,83,860,57,0,10,319,65,32,11,118,10,62
esc_ka4578aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR5034941_trimmed.velvet.gff,5110,95,812,63,0,44,367,70,42,11,123,10,68
esc_ka4578aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ka4578aa_as.fasta.gff,5035,73,783,55,0,42,347,69,41,11,123,10,67
srs1808077,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR5034942_trimmed.velvet.gff,4814,82,869,59,0,10,300,62,31,11,111,10,50
esc_ka0686aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ka0686aa_as.fasta.gff,4875,43,759,46,0,9,309,69,31,11,122,9,60
esc_ka0686aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR5034943_trimmed.velvet.gff,4848,84,781,52,0,9,306,66,31,11,119,10,61
esc_pa5377aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_pa5377aa_as.fasta.gff,5154,73,796,68,0,19,373,75,43,11,128,11,71
esc_pa5377aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR6052743_trimmed.velvet.gff,5084,89,797,66,0,20,366,75,44,11,127,10,60
srs1808133,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR5035013_trimmed.velvet.gff,4581,80,680,61,0,35,249,65,31,11,111,9,34
esc_ka1473aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ka1473aa_as.fasta.gff,5130,78,831,70,0,36,371,75,31,10,117,10,77
esc_ka1473aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/exist/annot/SRR5035012_trimmed.gff,5079,76,925,78,0,34,368,75,31,10,114,9,74
esc_ka6844aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ka6844aa_as.fasta.gff,4695,74,735,75,0,49,197,65,34,3,112,10,44
