ID, Assembly_file, length, num_contigs
esc_ca4458aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ca4458aa_as.fasta,5448260,274
esc_ca5810aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ca5810aa_as.fasta,5413197,235
11657_7#79,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11657_7#79.contigs_velvet.fa,5068892,45
srs3444562,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome/assembly/SRR7407948_trimmed.contigs_velvet.fa,5835607,1497
esc_sa7073aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome/assembly/SRR7407949_trimmed.contigs_velvet.fa,5508679,253
srs3528668,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/assembly/SRR7500929_trimmed.contigs_velvet.fa,4543973,156
esc_sa7069aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome/assembly/SRR7407945_trimmed.contigs_velvet.fa,5288023,142
esc_sa7070aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome/assembly/SRR7407946_trimmed.contigs_velvet.fa,5295296,143
esc_sa7071aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome/assembly/SRR7407947_trimmed.contigs_velvet.fa,5215460,402
esc_sa7067aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome/assembly/SRR7407940_trimmed.contigs_velvet.fa,5197716,157
esc_ca5629aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ca5629aa_as.fasta,5358805,278
esc_sa7068aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome/assembly/SRR7407943_trimmed.contigs_velvet.fa,5452344,220
7521_2#83,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/etec/complete/7521_2#83.contigs_velvet.fa,5134307,218
esc_ba9990aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ba9990aa_as.fasta,4806100,169
esc_ca3679aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ca3679aa_as.fasta,5031758,130
esc_ka0692aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome/assembly/SRR5034949_trimmed.contigs_velvet.fa,5292396,308
esc_ka0692aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ka0692aa_as.fasta,5323799,451
