ID,kraken,mapped_bases,error_rate,indel_ratio,insert_size,insert_size_rev,heterozygous_snps
SRR072776, 7.05, 48.41, 1.766044e-02, 1.766044e-02, NA, NA, 4.92
SRR1314220, 81.35, 68.91, 2.489732e-02, 2.489732e-02, 55.11, 53.23, 0.61
SRR1314221, NA, 10.63, 2.509797e-02, 2.509797e-02, 45.83, 123.51, 1.32
SRR1314222, 80.81, 65.88, 2.470491e-02, 2.470491e-02, 40.48, 133.46, 0.76
SRR1314223, 78.37, 68.92, 2.427072e-02, 2.427072e-02, 46.70, 131.30, 0.55
SRR1314224, 77.85, 71.40, 2.428981e-02, 2.428981e-02, 60.25, 107.49, 0.54
SRR1314225, 80.26, 66.55, 2.478371e-02, 2.478371e-02, 51.33, 123.57, 0.19
SRR1314226, 40.00, 88.16, 4.888099e-03, 4.888099e-03, 46.30, 125.19, 4.31
SRR1314227, 67.67, 72.74, 2.192436e-02, 2.192436e-02, 49.74, 123.28, 1.06
SRR1314228, 40.24, 88.66, 4.921194e-03, 4.921194e-03, 38.19, 134.08, 4.94
SRR1314229, 81.34, 67.25, 2.484797e-02, 2.484797e-02, 72.85, 32.56, 0.21
SRR1314246, 82.00, 68.28, 2.467868e-02, 2.467868e-02, 54.91, 116.42, 0.70
SRR1314280, 78.48, 66.11, 2.443917e-02, 2.443917e-02, 67.78, 79.85, 0.68
SRR1314281, 78.75, 67.22, 2.457863e-02, 2.457863e-02, 65.23, 91.04, 0.61
SRR1314282, 44.73, 80.79, 1.354076e-02, 1.354076e-02, 31.42, 140.00, 0.68
SRR1314283, 81.30, 70.36, 2.486648e-02, 2.486648e-02, 52.84, 58.83, 1.16
SRR1314284, 82.49, 70.02, 2.497279e-02, 2.497279e-02, 51.28, 120.00, 0.91
SRR1314285, 34.98, 87.49, 1.103394e-02, 1.103394e-02, 1.12, 96.91, 0.88
SRR1314286, 35.57, 90.28, 1.121753e-02, 1.121753e-02, 79.21, 25.67, 0.81
SRR1314287, 75.71, 64.69, 2.503540e-02, 2.503540e-02, 69.83, 48.51, 0.75
SRR1314288, 76.67, 65.92, 2.500753e-02, 2.500753e-02, 39.05, 132.58, 0.74
SRR1314289, 34.83, 85.80, 1.136538e-02, 1.136538e-02, 85.03, 21.92, 0.78
SRR1314330, 72.24, 69.13, 2.469023e-02, 2.469023e-02, 17.51, 281.05, 0.37
SRR1314331, 76.89, 65.91, 2.425101e-02, 2.425101e-02, 18.27, 305.30, 1.24
SRR1314332, 40.69, 72.69, 1.130108e-02, 1.0427256491276273, 1.09, 97.80, 2.62
SRR1314333, 40.92, 73.96, 1.138637e-02, 1.0409731853906612, 17.69, 264.29, 2.77
SRR1314334, 68.74, 57.15, 2.669664e-02, 2.669664e-02, 1.33, 98.31, 2.82
SRR1314335, 76.30, 67.26, 2.485747e-02, 2.485747e-02, 1.95, 97.70, 1.41
SRR1314336, 33.50, 87.68, 1.044784e-02, 1.0185003675569713, 14.37, 354.84, 1.20
SRR1314338, 75.93, 68.07, 2.438997e-02, 2.438997e-02, 18.28, 266.89, 0.56
SRR1314339, 79.62, 69.09, 2.400718e-02, 2.400718e-02, 15.64, 327.21, 0.55
SRR1314450, 39.83, 86.84, 1.228578e-02, 1.228578e-02, 16.95, 275.23, 1.98
SRR1314451, 77.24, 69.04, 2.437290e-02, 2.437290e-02, 18.83, 270.29, 0.66
SRR1314452, 75.41, 70.19, 2.392789e-02, 2.392789e-02, 21.19, 228.67, 0.68
SRR1314453, 72.18, 71.53, 2.274693e-02, 2.274693e-02, 15.31, 310.66, 0.31
SRR1314454, 70.93, 67.89, 2.389454e-02, 2.389454e-02, 19.03, 262.20, 0.31
SRR1314455, 77.30, 70.02, 2.414854e-02, 2.414854e-02, 18.44, 282.09, 0.67
SRR1314456, 39.07, 82.70, 1.593702e-02, 1.593702e-02, 2.28, 97.89, 0.74
SRR1314457, 75.96, 65.04, 2.378947e-02, 2.378947e-02, 21.87, 225.19, 1.51
SRR1314458, 34.08, 85.42, 1.018785e-02, 1.018785e-02, 11.87, 373.58, 0.00
SRR1314459, 78.77, 69.35, 2.438173e-02, 2.438173e-02, 17.63, 271.83, 0.73
SRR1314470, 70.92, 53.86, 2.257135e-02, 2.257135e-02, 21.76, 218.33, 0.00
SRR1314471, 76.03, 68.82, 2.458357e-02, 2.458357e-02, 17.48, 280.00, 0.59
SRR1314472, 73.14, 67.59, 2.449419e-02, 2.449419e-02, 16.42, 305.43, 0.60
SRR1314473, 74.39, 68.77, 2.286952e-02, 2.286952e-02, 24.26, 207.38, 0.00
SRR1314474, 72.88, 71.73, 2.368405e-02, 2.368405e-02, 21.74, 214.79, 0.00
