Experiment.Accession,Experiment.Title,Organism.Name,Instrument,Submitter,Study.Accession,Study.Title,Sample.Accession,Sample.Title,Total.Size..Mb,Total.RUNs,Total.Spots,Total.Bases,Library.Name,Library.Strategy,Library.Source,Library.Selection
SRX4691116,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3784476,NA,279.32,1,3138885,629518141,strain,WGS,GENOMIC,RANDOM
SRX4691115,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3784475,NA,320.18,1,3484835,698982010,strain,WGS,GENOMIC,RANDOM
SRX4690324,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783683,NA,242.33,1,2915243,583635451,strain,WGS,GENOMIC,RANDOM
SRX4690323,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783684,NA,217.69,1,2667412,534536858,strain,WGS,GENOMIC,RANDOM
SRX4690321,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783682,NA,391.74,1,4548840,910060444,strain,WGS,GENOMIC,RANDOM
SRX4690317,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783677,NA,322.63,1,3690688,738235337,strain,WGS,GENOMIC,RANDOM
SRX4690314,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783673,NA,372.2,1,4234833,845179471,strain,WGS,GENOMIC,RANDOM
SRX4690312,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783671,NA,188.93,1,2334065,467906409,strain,WGS,GENOMIC,RANDOM
SRX4690306,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783665,NA,215.6,1,2403733,479270811,strain,WGS,GENOMIC,RANDOM
SRX4690305,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783664,NA,333.92,1,3719203,744079708,strain,WGS,GENOMIC,RANDOM
SRX4690303,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783662,NA,152.42,1,1770104,353704440,strain,WGS,GENOMIC,RANDOM
SRX4690297,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783657,NA,125.14,1,1415027,283028651,strain,WGS,GENOMIC,RANDOM
SRX4690296,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783656,NA,221.99,1,2551715,510409499,strain,WGS,GENOMIC,RANDOM
SRX4690295,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783655,NA,118.43,1,1299685,259335631,strain,WGS,GENOMIC,RANDOM
SRX4690291,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783651,NA,125.05,1,1566768,313834145,strain,WGS,GENOMIC,RANDOM
SRX4690288,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783648,NA,223.69,1,2855404,568988241,strain,WGS,GENOMIC,RANDOM
SRX4690287,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783647,NA,216.35,1,2624800,525058163,strain,WGS,GENOMIC,RANDOM
SRX4690286,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783646,NA,147.72,1,1691986,338738172,strain,WGS,GENOMIC,RANDOM
SRX4690283,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783643,NA,105.08,1,1169560,234349097,strain,WGS,GENOMIC,RANDOM
SRX4690281,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783641,NA,183.9,1,2240990,448601076,strain,WGS,GENOMIC,RANDOM
SRX4690280,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783640,NA,159.64,1,1836529,366550134,strain,WGS,GENOMIC,RANDOM
SRX4690279,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783639,NA,150.94,1,1943348,389644954,strain,WGS,GENOMIC,RANDOM
SRX4690278,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783638,NA,151.14,1,1804409,359603901,strain,WGS,GENOMIC,RANDOM
SRX4690277,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783637,NA,233.07,1,2627149,523559227,strain,WGS,GENOMIC,RANDOM
SRX4690273,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783630,NA,200.93,1,2207300,438346974,strain,WGS,GENOMIC,RANDOM
SRX4690272,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783628,NA,154.94,1,1761189,352566712,strain,WGS,GENOMIC,RANDOM
SRX4690271,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783627,NA,122.79,1,1627088,326173657,strain,WGS,GENOMIC,RANDOM
SRX4690269,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783625,NA,320.45,1,3617771,725318093,strain,WGS,GENOMIC,RANDOM
SRX4690268,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783633,NA,289.58,1,3205601,639918583,strain,WGS,GENOMIC,RANDOM
SRX4690267,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783624,NA,162.85,1,1848638,370171939,strain,WGS,GENOMIC,RANDOM
SRX4690263,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783632,NA,210.17,1,2318582,463505100,strain,WGS,GENOMIC,RANDOM
SRX4690262,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783620,NA,170.3,1,1947859,387522743,strain,WGS,GENOMIC,RANDOM
SRX4690261,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783619,NA,432.05,1,4714615,941891133,strain,WGS,GENOMIC,RANDOM
