Sequence ID,Isolate ID,ENA Accessions 1,ENA Accessions 2,Total Length,Number Contigs,Avg_Contig_Length,Largest Contig,N50,Contigs in N50,Mapped %,Depth of Coverage,Participant,Year of Isolation,Geographic Location,Origin,Sample Type,gyrA Mutation,parC Mutation,H30-H30R-H30Rx,Clade,CTX-M Presence,blaOXA1,blaTEM,aac-(6')-lbcr,mphA,dfrA17,tetA,sul1,sul2,strA,strB
14937_7#10,NHES0083,ERR775977,ERS576078,5142964,101,50920.44,639916,201936,8,95.5,78.49,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#11,NHES0088,ERR775978,ERS576082,5144479,108,47634.06,517417,182977,9,92.9,77.35,P6,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#12,NHES0089,ERR775979,ERS576085,5142565,108,47616.34,757267,200539,8,94.6,80.36,P3,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#13,NHES0092,ERR775980,ERS576090,5153875,100,51538.75,686383,228527,7,95.4,88.1,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#14,NHES0096,ERR775981,ERS576093,5168280,112,46145.36,527451,192315,8,88.8,90.13,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#15,NHES0097,ERR775982,ERS576095,5177571,94,55080.54,686143,208374,7,91.2,91.47,P25,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#16,NHES0101,ERR775983,ERS576098,5168403,104,49696.18,512187,208406,8,88.3,80.57,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#17,NHES0102,ERR775984,ERS576100,5145710,98,52507.24,717054,203017,8,91.4,85.85,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#18,NHES0106,ERR775985,ERS576105,5150015,107,48130.98,795823,173071,9,95.4,85.69,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#19,NHES0121,ERR775986,ERS576124,5144931,116,44352.85,636214,164137,9,91.6,80.55,P6,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#20,NHES0135,ERR775987,ERS576136,5095644,111,45906.7,527589,173079,9,90.7,74.14,P26,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#21,NHES0136,ERR775988,ERS576138,5146054,104,49481.29,550428,205496,8,91.4,80.01,P25,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#22,NHES0146,ERR775989,ERS576151,5167802,108,47850.02,512821,218156,7,89.4,82.51,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#23,NHES0163,ERR775990,ERS576165,5145976,96,53603.92,716130,208386,7,92.9,83.58,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#28,NHES0041,ERR775995,ERS576220,5303983,75,70719.77,903542,234840,6,92.9,69.26,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#29,NHES0045,ERR775996,ERS576223,5150040,101,50990.5,717396,319634,6,94.5,81.83,P3,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
