#Organism Group,Strain,Serovar,Isolate,Create Date,Location,Isolation Source,Isolation type,Host,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,K-mer group
"E.coli and Shigella","PNUSAE007218",,"PDT000215123.2","2017-06-02T21:34:45Z","USA",,"clinical",,,,,"SAMN07177947",,"aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,sul2","PDG000000004.1006"
"E.coli and Shigella","PNUSAE007214",,"PDT000215124.2","2017-06-02T21:34:45Z","USA",,"clinical",,"PDS000035782.2",5,,"SAMN07177948",,"aadA1,blaEC,dfrA1,sat2","PDG000000004.1006"
"E.coli and Shigella","PNUSAE007215",,"PDT000215125.2","2017-06-02T21:34:45Z","USA",,"clinical",,"PDS000035782.2",1,,"SAMN07177953",,"aadA1,blaEC,dfrA1,sat2","PDG000000004.1006"
"E.coli and Shigella","PNUSAE007249",,"PDT000215126.2","2017-06-02T21:34:46Z","USA",,"clinical",,,,,"SAMN07180937",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE007284",,"PDT000215127.2","2017-06-02T21:34:46Z","USA",,"clinical",,"PDS000033324.1",2,,"SAMN07184669",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE007251",,"PDT000215129.2","2017-06-02T21:34:46Z","USA",,"clinical",,"PDS000033872.3",0,8,"SAMN07180939",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE007283",,"PDT000215130.2","2017-06-02T21:34:46Z","USA",,"clinical",,,,,"SAMN07184668",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE007289",,"PDT000215131.2","2017-06-02T21:34:46Z","USA",,"clinical",,"PDS000013426.4",4,,"SAMN07177489",,"blaEC,tet(A)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE005858",,"PDT000215132.2","2017-06-02T21:34:47Z","USA","stool","clinical","Homo sapiens","PDS000034117.1",11,,"SAMN07159562",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE005863",,"PDT000215133.2","2017-06-02T21:34:47Z","USA","stool","clinical","Homo sapiens","PDS000035781.2",1,,"SAMN07159566",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE005862",,"PDT000215134.2","2017-06-02T21:34:47Z","USA","stool","clinical","Homo sapiens","PDS000035300.3",12,23,"SAMN07159565",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE005860",,"PDT000215135.2","2017-06-02T21:34:47Z","USA","stool","clinical","Homo sapiens","PDS000035781.2",1,,"SAMN07159564",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE003977",,"PDT000215136.2","2017-06-02T21:34:47Z","USA",,"clinical",,,,,"SAMN05570637",,"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","NC_STEC197",,"PDT000215549.2","2017-06-05T19:16:37Z","USA:TN","Chicken house 2 Back","environmental/other",,"PDS000013542.6",0,,"SAMN06645856",,"aac(3)-II,aadA2,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA12,mph(A),qacEdelta1,sul1,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","NC_STEC196",,"PDT000215551.2","2017-06-05T19:16:37Z","USA:TN","Chicken house 3 Back","environmental/other",,"PDS000035015.1",10,,"SAMN06645857",,"aac(3)-IV,aph(3'')-Ib,aph(4)-Ia,aph(6)-Id,blaEC,tet(B)","PDG000000004.1006"
"E.coli and Shigella","NC_STEC194",,"PDT000215552.2","2017-06-05T19:16:37Z","USA:TN","Chicken house 2 Middle","environmental/other",,"PDS000013542.6",0,,"SAMN06645859",,"aac(3)-II,aadA2,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA12,mph(A),qacEdelta1,sul1,sul2,tet(B)","PDG000000004.1006"
