Murray Collection Identifier,WTSI sequence tag,ENA accession number,Sample name,Public Name,GC content,Total sequencing yield (kbp) ,Assembly total length (bp) ,Assembly contiguous sequences (number) ,N50,WGS genus,Salmonella MLST,Escherichia coli MLST,Klebseilla MLST ,mdtM,tetC,acrA,acrB,arnA,bacA,bcr,bl1_ec,bl2be_shv2,bl2e_fpm,bl3_cpha,catA2,catA4,emrD,emrE,fosA,ksgA,macB,mdfA,mdtE,mdtF,mdtG,mdtH,mdtK,mdtL,mdtN,mdtO,mdtP,mexB,pbp2,tetJ,tolC,Number detected,Plasmid 1 ,Plasmid 2,Plasmid 3,Plasmid 4,Plasmid 5
M662,9471_7#57,ERS203168,NCTC_M662 6838787,NCTC20305,58.7,501711,4494408,39,166907,Aeromonas,,,,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,0,,,,,
M545,9471_7#37,ERS203148,NCTC_M545 6838832,NCTC20247,54.2,405472,5436603,64,341563,Enterobacter,,,,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M546,9471_7#36,ERS203147,NCTC_M546 6838820,NCTC20248,54.45,464427,5291805,52,341576,Enterobacter,,,,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M291,8476_1#2,ERS174279,NCTC-M291 5904798,NCTC20007,50.3,228848,5223254,205,80720,Escherichia/Shigella,,59,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,2,Col_BS512__1a__NC_010656,IncB_O_K_Z_2_GU256641,,,
M20,8476_1#1,ERS174283,NCTC-M20 5904802,NCTC20015,50.15,211366,5258828,126,335798,Escherichia/Shigella,,12,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,2,IncFIB_AP001918__1__AP001918,IncFII_1__AY458016,,,
M116,9471_7#80,ERS203191,NCTC_M116 6838873,NCTC20186,49.9,420799,4065045,567,14549,Escherichia/Shigella,,260,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M181,9803_5#71,ERS222810,NCTC_M181 7223008,NCTC20333,49.9,301876,4647700,313,38170,Escherichia/Shigella,,628,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,
M91,9471_7#73,ERS203184,NCTC_M91 6838789,NCTC20178,49.95,382549,4598709,320,34632,Escherichia/Shigella,,628,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,
M108,9471_7#45,ERS203156,NCTC_M108 6838833,NCTC20245,50.1,462271,5293471,183,140154,Escherichia/Shigella,,ND,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,3,ColpVC_1__JX133088,IncFIB_AP001918__1__AP001918,p0111_1__AP010962,,
M188,9471_7#86,ERS203197,NCTC_M188 6838850,NCTC20205,50.1,407705,4063553,532,14204,Escherichia/Shigella,,260,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
