uberstrain	name	data.source.accession.no..sequencing.platform.sequencing.library.insert.size.experiment.status.	source.niche	source.type	source.details	collection.year	collection.month	collection.day	collection.time	continent	country	region	district	city	post.code	latitude	longitude	lab.contact	species	serological.group	serotype	ecor.cluster	pathogen.non.pathogen	simple.patho	simple.disease	comment	bio.project.id	project.id	disease	sample.id	secondary.sample.id	date.entered	release.date	barcode	status	coverage	n50	length	species.1	contig.number...200.bp.	low.quality.bases	assembly.barcode	version
esc_aa7801aa	mgh107	srr2127887;illumina;paired;658;srx1118685,srr2127861;illumina;paired;180;srx1118666,srr2131460;illumina;paired;658;srx1118685,srr2135480;illumina;paired;180;srx1118666	human	human	homo sapiens	2014	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280203	srs1011431	2015-08-27	2015-07-25	esc_aa7801aa	assembled	NA	150543	5158717	escherichia coli / shigella;97.91%	152	3139	esc_ca6411aa_as	2.2
esc_aa7802aa	bwh55	srr2127875;illumina;paired;644;srx1118677,srr2132027;illumina;paired;644;srx1118677,srr2127531;illumina;paired;180;srx1118298,srr2131441;illumina;paired;180;srx1118298	human	human	homo sapiens	2014	nd	nd	nd	north america	united states	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280198	srs1011285	2015-08-27	2015-07-25	esc_aa7802aa	assembled	NA	191589	5281189	escherichia coli / shigella;97.49%	231	3282	esc_ba8492aa_as	2.2
esc_aa7803aa	bwh59	srr2131822;illumina;paired;757;srx1118649,srr2127843;illumina;paired;757;srx1118649,srr2127369;illumina;paired;180;srx1118208,srr2131424;illumina;paired;180;srx1118208	human	human	homo sapiens	2014	nd	nd	nd	north america	united states	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280200	srs1011204	2015-08-27	2015-07-25	esc_aa7803aa	assembled	NA	323035	5036090	escherichia coli / shigella;100.0%	125	2117	esc_ca6849aa_as	2.2
esc_aa7804aa	bidmc103	srr2127836;illumina;paired;180;srx1118641,srr2135111;illumina;paired;180;srx1118641,srr2131420;illumina;paired;654;srx1118325,srr2127488;illumina;paired;654;srx1118325	human	human	homo sapiens	2014	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280211	srs1011276	2015-08-27	2015-07-25	esc_aa7804aa	assembled	NA	123796	4739543	escherichia coli / shigella;98.5%	139	3217	esc_ca5791aa_as	2.2
esc_aa7805aa	mgh108	srr2135060;illumina;paired;682;srx1118638,srr2127411;illumina;paired;180;srx1118242,srr2135108;illumina;paired;180;srx1118242,srr2127831;illumina;paired;682;srx1118638	human	human	homo sapiens	2014	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280204	srs1011225	2015-08-27	2015-07-25	esc_aa7805aa	assembled	NA	100560	4717135	escherichia coli / shigella;100.0%	162	1511	esc_ca5667aa_as	2.2
esc_aa7806aa	bidmc97	srr2135196;illumina;paired;648;srx1118605,srr2127795;illumina;paired;648;srx1118605,srr2127467;illumina;paired;180;srx1118308,srr2131773;illumina;paired;180;srx1118308	human	human	homo sapiens	2014	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280207	srs1011271	2015-08-27	2015-07-25	esc_aa7806aa	assembled	NA	214070	5292837	escherichia coli / shigella;99.52%	209	2402	esc_ca4117aa_as	2.2
esc_aa7807aa	bidmc114	srr2127790;illumina;paired;618;srx1118600,srr2131825;illumina;paired;618;srx1118600,srr2127337;illumina;paired;180;srx1118151,srr2127307;illumina;paired;180;srx1118151	human	human	homo sapiens	2014	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280218	srs1011144	2015-08-27	2015-07-25	esc_aa7807aa	assembled	NA	204747	5167210	escherichia coli / shigella;98.55%	208	5562	esc_ca4514aa_as	2.2
esc_aa7808aa	bidmc98	srr2127780;illumina;paired;771;srx1118588,srr2131466;illumina;paired;771;srx1118588,srr2135455;illumina;paired;180;srx1118249,srr2127407;illumina;paired;180;srx1118249	human	human	homo sapiens	2014	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280208	srs1011230	2015-08-27	2015-07-25	esc_aa7808aa	assembled	NA	113451	4880367	escherichia coli / shigella;97.39%	178	2971	esc_ca3854aa_as	2.2
esc_aa7809aa	bidmc113	srr2127761;illumina;paired;606;srx1118570,srr2131425;illumina;paired;606;srx1118570,srr2135071;illumina;paired;180;srx1118294,srr2127457;illumina;paired;180;srx1118294	human	human	homo sapiens	2014	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280217	srs1011254	2015-08-27	2015-07-25	esc_aa7809aa	assembled	NA	147775	5412296	escherichia coli / shigella;98.78%	259	2450	esc_ba9438aa_as	2.2
esc_aa7812aa	bwh50	srr2127686;illumina;paired;642;srx1118504,srr2135053;illumina;paired;642;srx1118504,srr2135107;illumina;paired;180;srx1118161,srr2127319;illumina;paired;180;srx1118161	human	human	homo sapiens	2014	nd	nd	nd	north america	united states	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280196	srs1011156	2015-08-27	2015-07-25	esc_aa7812aa	assembled	NA	107296	4830836	escherichia coli / shigella;92.05%	196	2707	esc_ca0607aa_as	2.2
esc_aa7813aa	bidmc111	srr2127674;illumina;paired;5000;srx1118437,srr2135157;illumina;paired;5000;srx1118437,srr2127433;illumina;paired;180;srx1118270,srr2135081;illumina;paired;180;srx1118270	human	human	homo sapiens	2014	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280215	srs1011251	2015-08-27	2015-07-25	esc_aa7813aa	assembled	NA	104027	5370471	escherichia coli / shigella;96.23%	299	7732	esc_ca1369aa_as	2.2
esc_aa7814aa	bidmc104	srr2127421;illumina;paired;547;srx1118258,srr2135460;illumina;paired;547;srx1118258,srr2135106;illumina;paired;180;srx1118432,srr2127605;illumina;paired;180;srx1118432	human	human	homo sapiens	2014	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280212	srs1011243	2015-08-27	2015-07-25	esc_aa7814aa	assembled	NA	127678	5146871	escherichia coli / shigella;94.86%	188	2664	esc_ca4547aa_as	2.2
esc_aa7815aa	bidmc106	srr2127585;illumina;paired;668;srx1118405,srr2135110;illumina;paired;668;srx1118405,srr2135458;illumina;paired;180;srx1118260,srr2127427;illumina;paired;180;srx1118260,srr2127372;illumina;paired;180;srx1118212	human	human	homo sapiens	2014	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280214	srs1011193	2015-08-27	2015-07-25	esc_aa7815aa	assembled	NA	78943	5348087	escherichia coli / shigella;92.91%	263	7883	esc_ca1311aa_as	2.2
esc_aa7816aa	bwh61	srr2135119;illumina;paired;180;srx1118373,srr2127544;illumina;paired;180;srx1118373,srr2127375;illumina;paired;680;srx1118215,srr2131488;illumina;paired;680;srx1118215	human	human	homo sapiens	2014	nd	nd	nd	north america	united states	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280202	srs1011200	2015-08-27	2015-07-25	esc_aa7816aa	assembled	NA	276121	5212493	escherichia coli / shigella;98.75%	250	3023	esc_ba9092aa_as	2.2
