536,NS,NS,NS,*4727,cluster_30,cluster_30,CQ,CQ,NC_008253
11128,Japan,2001,nO157EHEC,16,CG29,cluster_7,pheV,12,NC_013364
11368,Japan,2001,nO157EHEC,21,CG29,cluster_7,pheU,8,NC_013361
12009,Japan,2001,nO157EHEC,17,CG3,cluster_4,pheV,6,NC_013353
53638,USA,NS,NS,6,cluster_46,cluster_46,NoLEE,NoLEE,AAKB00000000
55989,CAR,1996,NS,678,cluster_29,cluster_29,NoLEE,NoLEE,NC_011748
155388,Australia,NS,aEPEC ref,28,CG121,cluster_26,selC,30,ERS139240
101-1 ,NS,NS,NS,4727,cluster_43,cluster_43,CQ,CQ,AAMK00000000
2009EL,Georgia,2009,NS,0,cluster_29,cluster_29,NoLEE,NoLEE,CP003297
2362-75,USA,NS,tEPEC,*4728,CG4728,cluster_6,selC,27,ADUL01000000
86-24,USA,NS,O157EHEC,11,CG11,cluster_11,selC,10,AIAK00000000
ABU83972,NS,NS,NS,73,cluster_22,cluster_22,NoLEE,NoLEE,NC_017631
APEC_O78,NS,NS,NS,23,cluster_84,cluster_84,NoLEE,NoLEE, CP004009
APEC01,USA,NS,NS,95,cluster_38,cluster_38,NoLEE,NoLEE,NC_008563
ATCC8739,USA,NS,NS,3021,cluster_52,cluster_52,NoLEE,NoLEE,NC_010468
B_REL606,NS,1918,NS,93,cluster_13,cluster_13,NoLEE,NoLEE,NC_012967
B171,USA,NS,tEPEC,3,CG3,cluster_4,pheV,8,AAJX00000000
B7A,Vietnam,NS,NS,94,cluster_74,cluster_74,NoLEE,NoLEE,AAJT02000000
BL21-DE3,NS,NS,NS,93,cluster_13,cluster_13,NoLEE,NoLEE,NC_012971
BL21-Gold,NS,NS,NS,93,cluster_13,cluster_13,NoLEE,NoLEE,NC_012947
BW2952,NS,NS,NS,10,cluster_18,cluster_18,NoLEE,NoLEE,NC_012759
C12-92,UK,NS,aEPEC ref,335,CG335,cluster_21,CQ,CQ,AIAE00000000
C1214-90,India,NS,aEPEC ref,29,CG29,cluster_7,NS,8,AIAC00000000
C1244-91,UK,NS,aEPEC ref,335,CG335,cluster_21,selC,10,AIAD00000000
C154-11,Denmark,NS,aEPEC ref,335,CG335,cluster_21,selC,10,AIAF00000000
C155-11,Denmark,NS,aEPEC ref,21,CG29,cluster_7,pheU,8,AIAG00000000
C157-11,Denmark,NS,aEPEC ref,335,CG335,cluster_21,CQ,CQ,AIAH00000000
C161-11,Denmark,NS,aEPEC ref,32,cluster_61,cluster_61,CQ,CQ,AIAI00000000
C166-11,Denmark,NS,aEPEC ref,29,CG29,cluster_7,NS,8,AICF00000000
C170-11,Denmark,NS,aEPEC ref,20,CG3,cluster_4,NS,8,AIAJ00000000
C213-10,Denmark,NS,aEPEC ref,10,CG10,cluster_14,CQ,CQ,AIAL00000000
C2139-99,Denmark,NS,aEPEC ref,28,CG121,cluster_26,selC,30,AIAM00000000
C238-91,Germany,NS,aEPEC ref,343,cluster_71,cluster_71,CQ,CQ,AIAN00000000
C260-92,Italy,NS,aEPEC ref,10,CG10,cluster_14,CQ,CQ,AIAO00000000
C262-10,Denmark,NS,aEPEC ref,*4729,cluster_17,cluster_17,selC,26,AIAP00000000
C283-09,Slovenia,NS,aEPEC ref,342,cluster_40,cluster_40,NS,8,AIAQ00000000
C295-10,Denmark,NS,aEPEC ref,*4730,cluster_78,cluster_78,selC,19,AIAR00000000
C341-10,Denmark,NS,aEPEC ref,20,CG3,cluster_4,CQ,CQ,AIAS00000000
C342-62,Egypt,NS,tEPEC,3,CG3,cluster_4,NS,8,SRS085190
C343-08,Denmark,NS,aEPEC ref,154,cluster_53,cluster_53,CQ,CQ,AIAT00000000
C347-93,Thailand,NS,aEPEC ref,29,CG29,cluster_42,NS,5,AIAU00000000
C353-09,Denmark,NS,aEPEC ref,2538,cluster_63,cluster_63,CQ,CQ,AIAV00000000
C354-03B,UK,NS,aEPEC ref,11,CG11,cluster_11,CQ,CQ,AIAW00000000
C40-11,Denmark,NS,aEPEC ref,342,cluster_40,cluster_40,NS,8,AIAX00000000
C418-89,Italy,NS,aEPEC ref,583,cluster_36,cluster_36,selC,14,AIAY00000000
C458-10,Denmark,NS,aEPEC ref,40,CG40,cluster_27,CQ,CQ,AIAZ00000000
C488-07,Denmark,NS,aEPEC ref,20,CG3,cluster_4,CQ,CQ,AIBA00000000
C496-10,Denmark,NS,aEPEC ref,10,CG10,cluster_14,CQ,CQ,AIBB00000000
C497-10,NS,NS,aEPEC ref,20,CG3,cluster_4,NS,8,AIBC00000000
C527-94,Denmark,NS,aEPEC ref,328,CG328,cluster_3,pheV,8,AIBD00000000
C58-11,Denmark,NS,aEPEC ref,*4731,cluster_57,cluster_57,selC,19,AIBF00000000
C581-05,Africa,NS,tEPEC,28,CG121,cluster_26,selC,30,AIBE00000000
C586-05,Africa,NS,tEPEC,28,CG121,cluster_26,selC,30,AIBG00000000
C639-08,Denmark,NS,aEPEC ref,725,cluster_25,cluster_25,selC,25,AIBH00000000
C652-10,Denmark,NS,aEPEC ref,517,CG517,cluster_5,selC,22,AIBI00000000
C654-09,France,NS,aEPEC ref,29,CG29,cluster_7,CQ,CQ,AIBJ00000000
C717-10,Denmark,NS,aEPEC ref,4550,cluster_19,cluster_19,CQ,CQ,AIBK00000000
C725-88,Germany,NS,tEPEC,590,cluster_37,cluster_37,selC,20,AIBL00000000
C732-98,Israel,NS,aEPEC ref,206,cluster_23,cluster_23,selC,28,AIBM00000000
C743-03,Austria,NS,aEPEC ref,517,CG517,cluster_5,selC,22,AIBN00000000
C751-03,Austria,NS,aEPEC ref,206,cluster_23,cluster_23,selC,28,AIBO00000000
C78-09C,Belgium,NS,aEPEC ref,*4732,cluster_90,cluster_90,selC,13,AIBP00000000
C79-08,Slovenia,NS,aEPEC ref,28,cluster_73,cluster_73,CQ,CQ,AIBQ00000000
C792-92,Italy,NS,aEPEC ref,29,CG29,cluster_7,pheU,8,AIBR00000000
C796-10,Denmark,NS,aEPEC ref,2346,cluster_55,cluster_55,selC,25,AIBS00000000
C799-92,Italy,NS,aEPEC ref,29,CG29,cluster_7,NS,8,AIBT00000000
C80-08,Slovenia,NS,tEPEC,590,cluster_37,cluster_37,selC,20,AIBU00000000
C807-09,Denmark,NS,aEPEC ref,327,cluster_9,cluster_9,CQ,CQ,AIBV00000000
C82-11,Denmark,NS,aEPEC ref,20,CG3,cluster_4,NS,8,AIBW00000000
C824-10,Denmark,NS,aEPEC ref,29,CG29,cluster_7,NS,12,AIBX00000000
C842-97,Japan,NS,aEPEC ref,11,CG11,cluster_11,CQ,CQ,AIBY00000000
C844-97,Japan,NS,aEPEC ref,725,cluster_25,cluster_25,selC,25,AIBZ00000000
C87-11,Denmark,NS,aEPEC ref,327,cluster_9,cluster_9,CQ,CQ,AICA00000000
C887-10,Denmark,NS,aEPEC ref,121,CG121,cluster_26,selC,30,AICB00000000
C9-92,UK,NS,aEPEC ref,*4733,cluster_54,cluster_54,selC,24,AICE00000000
C900-01,Guinea-Bissau,NS,aEPEC ref,17,CG3,cluster_4,NS,6,AICC00000000
C93-11,Denmark,NS,aEPEC ref,4554,cluster_12,cluster_12,NS,29,AICD00000000
CB9615,Germany,2003,aEPEC ref,335,CG335,cluster_21,selC,10,NC_013941
CE10,USA,mid 2000s,NS,62,cluster_34,cluster_34,NoLEE,NoLEE,NC_017646
CFT073,USA,1982,NS,73,cluster_22,cluster_22,NoLEE,NoLEE,NC_004431
cloneDi14,NS,2007,NS,73,cluster_22,cluster_22,NoLEE,NoLEE,CP002212
CloneDi2,NS,2002,NS,73,cluster_22,cluster_22,NoLEE,NoLEE,CP002211
DEC11A,USA,1975,aEPEC ref,20,CG3,cluster_4,NS,8,AIGV00000000
DEC11B,USA,1971,aEPEC ref,20,CG3,cluster_4,pheV,8,AIGW00000000
DEC11C,USA,1983,nO157EHEC,17,CG3,cluster_4,NS,6,AIGX00000000
DEC11D,Uk,1989,aEPEC ref,3,CG3,cluster_4,NS,8,AIGY00000000
DEC11E,Brazil,NS,aEPEC ref,3,CG3,cluster_4,NS,8,AIGZ00000000
DEC12A,UK,1950,aEPEC ref,3,CG3,cluster_4,NS,8,AIHA00000000
DEC12B,USA,1956,tEPEC,3,CG3,cluster_4,CQ,CQ,AIHB00000000
DEC12C,Panama,1967,tEPEC,3,CG3,cluster_4,NS,8,AIHC00000000
DEC12D,Peru,1983,tEPEC,3,CG3,cluster_4,NS,CQ,AIHD00000000
DEC12E,Kenya,1986,tEPEC,3,CG3,cluster_4,NS,8,AIHE00000000
DEC1A,USA,1956,tEPEC,*4728,CG4728,cluster_6,CQ,CQ,AIEV00000000
DEC1B,Ghana,1958,tEPEC,*4728,CG4728,cluster_6,selC,27,AIEW00000000
DEC1C,Germany,1951,tEPEC,*4728,CG4728,cluster_6,CQ,CQ,AIEX00000000
DEC1D,Egypt,1955,tEPEC,*4734,cluster_68,cluster_68,selC,27,AIEY00000000
DEC1E,Mexico,1986,tEPEC,*4728,CG4728,cluster_6,CQ,CQ,AIEZ00000000
DEC2A,Congo,1962,tEPEC,*4728,CG4728,cluster_6,CQ,CQ,AIFA00000000
DEC2B,USA,NS,tEPEC,*4728,CG4728,cluster_6,CQ,CQ,AJFB00000000
DEC2C,USA,1954,tEPEC,*4728,CG4728,cluster_6,CQ,CQ,AIFB00000000
DEC2D,France,1951,tEPEC,*4728,CG4728,cluster_6,CQ,CQ,AIFC00000000
DEC2E,USA,1977,tEPEC,*4728,CG4728,cluster_6,selC,27,AIFD00000000
DEC4A,Argentina,1999,aEPEC ref,11,CG11,cluster_11,selC,10,AIFK00000000
DEC4B,Denmark,1987,O157EHEC,11,CG11,cluster_11,selC,10,AIFL00000000
DEC4C,Egypt,1983,aEPEC ref,11,CG11,cluster_11,selC,10,AIFM00000000
DEC4D,Japan,1987,O157EHEC,11,CG11,cluster_11,selC,10,AIFN00000000
DEC4E,Denmark,1988,O157EHEC,11,CG11,cluster_11,selC,10,AIFO00000000
DEC5A,USA,1950,aEPEC ref,*335,CG335,cluster_21,selC,10,AIFQ00000000
DEC5B,USA,1979,aEPEC ref,335,CG335,cluster_21,selC,10,AIFR00000000
DEC5C,USA,1966,aEPEC ref,335,CG335,cluster_21,selC,10,AIFS00000000
DEC5D,Sri Lanka,1965,aEPEC ref,335,CG335,cluster_21,selC,10,AIFT00000000
DEC5E,Iran,1963,aEPEC ref,61,CG335,cluster_21,selC,10,AIFU00000000
DEC9A,USA,1961,aEPEC ref,29,CG29,cluster_7,pheU,8,AIGK00000000
DEC9B,USA,1979,aEPEC ref,29,CG29,cluster_7,NS,8,AIGL00000000
DEC9C,Switzerland,1952,aEPEC ref,29,CG29,cluster_7,pheU,8,AIGM00000000
DEC9D,Denmark,1967,aEPEC ref,29,CG29,cluster_7,pheU,8,AIGN00000000
DEC9E,Mexico,1986,aEPEC ref,29,CG29,cluster_7,NS,8,AIGO00000000
DH1,NS,NS,NS,1060,cluster_18,cluster_18,NoLEE,NoLEE,NC_017625
DH10B,NS,NS,NS,1060,cluster_18,cluster_18,NoLEE,NoLEE,NC_010473
E110019,Finland,1990,aEPEC ref,20,CG3,cluster_4,NS,8,AAJW00000000
E128010,Bangladesh,NS,tEPEC,3,CG3,cluster_4,CQ,CQ,ADUO00000000
E22,NS,NS,aEPEC ref,20,CG3,cluster_4,pheV,8,AAJV00000000
E2348/69,UK,1969,tEPEC,*4729,cluster_45,cluster_45,selC,27,NC_011601
E24377A,USA,NS,NS,1132,cluster_76,cluster_76,NoLEE,NoLEE,NC_009801
EC4115,USA,2006,O157EHEC,11,CG11,cluster_11,selC,10,NC_011353
ED1a,France,mid 2000s,NS,*4728,cluster_50,cluster_50,NoLEE,NoLEE,NC_011745
EDL933,USA,1982,O157EHEC,*11,CG11,cluster_11,selC,10,NC_002655
EHEC14,Brazil ,NS,nO157EHEC,21,CG29,cluster_7,pheU,CQ,ADUN00000000
EL-2071,NS,NS,NS,678,cluster_29,cluster_29,NoLEE,NoLEE,CP003301
F11,USA,1980s,NS,*4735,cluster_30,cluster_30,NoLEE,NoLEE,AAJU00000000
H10407,Bangladesh,1973,NS,48,cluster_59,cluster_59,NoLEE,NoLEE,NC_017633
HI8,NS,NS,tEPEC,20,CG3,cluster_4,NS,8,AFDY00000000
HS,NS,NS,NS,46,cluster_88,cluster_88,NoLEE,NoLEE,CP000802
IAI1,France,1983-1985,NS,1128,cluster_81,cluster_81,NoLEE,NoLEE,NC_011741
IAI39,France,1983-1985,NS,62,cluster_34,cluster_34,NoLEE,NoLEE,NC_011750
IHE3034,Finland,1976,NS,95,cluster_38,cluster_38,NoLEE,NoLEE,NC_017628
K12-MDS42,NS,NS,NS,10,cluster_18,cluster_18,NoLEE,NoLEE,AP012306
K12-W3110,NS,NS,NS,10,cluster_18,cluster_18,NoLEE,NoLEE,NC_007779
KO11FL,NS,NS,NS,1079,cluster_39,cluster_39,NoLEE,NoLEE,NC_016902
LF82,NS,NS,NS,135,cluster_41,cluster_41,NoLEE,NoLEE,NC_011993
MG1655,NS,NS,NS,10,cluster_18,cluster_18,NoLEE,NoLEE,NC_000913
NA114,India,2009,NS,131,cluster_86,cluster_86,NoLEE,NoLEE,NC_017644
NRG857C,Germany,mid 2000s,NS,135,cluster_41,cluster_41,NoLEE,NoLEE,NC_017634
O42,Peru,1983,NS,414,cluster_85,cluster_85,NoLEE,NoLEE,NC017626
OK1114,NS,NS,nO157EHEC,16,CG29,cluster_7,CQ,CQ,AICG00000000
OK1180,USA,NS,nO157EHEC,16,CG29,cluster_7,pheV,12,ADUQ00000000
p12b,NS,NS,NS,10,cluster_82,cluster_82,NoLEE,NoLEE,NC_017663
RM12579,USA,1974,aEPEC ref,335,CG335,cluster_21,selC,10,NC_017656
RN587/1,Brazil,NS,tEPEC,725,cluster_25,cluster_25,selC,CQ,ADUS00000000
S.boydii,NS,NS,NS,1130*,cluster_51,cluster_51,Shigella,Shigella,NC_007613
S.dysenteriae,NS,NS,NS,146*?,cluster_83,cluster_83,Shigella,Shigella,NC_007606
S.flexneri,NS,NS,NS,634*?,cluster_87,cluster_87,Shigella,Shigella,NC_008258
S.flexneri,NS,NS,NS,245*,cluster_75,cluster_75,Shigella,Shigella,NC_004337
S.flexneri,NS,NS,NS,245*,cluster_67,cluster_67,Shigella,Shigella,AE014073
S.sonnei,NS,NS,NS,152,cluster_32,cluster_32,Shigella,Shigella,NC_007384
S.sonnei,NS,NS,NS,152*?,cluster_32,cluster_32,Shigella,Shigella,NC_016822
S.sonnei,NS,NS,NS,1129*,cluster_62,cluster_62,Shigella,Shigella,NC_010658
S88,France,1999,NS,95,cluster_77,cluster_77,NoLEE,NoLEE,NC_011742
SAKAI,Japan,1997,O157EHEC,11,CG11,cluster_11,selC,10,NC_002695
SE11,NS,mid 2000s,NS,156,cluster_66,cluster_66,NoLEE,NoLEE,NC_011415
SE15,NS,mid 2000s,NS,131,cluster_69,cluster_69,NoLEE,NoLEE,NC_013654
SMS-3-5,USA,2005,NS,354,cluster_60,cluster_60,NoLEE,NoLEE,NC_010498
TW14359,USA,2006,O157EHEC,11,CG11,cluster_11,selC,10,NC_013008
TY-2482,Germany,2011,NS,678,cluster_29,cluster_29,NoLEE,NoLEE,AFOG01000000
UM146,Canada,2000s,NS,643,cluster_38,cluster_38,NoLEE,NoLEE,NC_017632
UMN026,USA,1999,NS,597,cluster_79,cluster_79,NoLEE,NoLEE,NC_011751
UMNF18,NS,2006,NS,10,CG10,cluster_14,NoLEE,NoLEE,CP002890
UMNK88,NS,2007,NS,100,cluster_48,cluster_48,NoLEE,NoLEE,NC_017641
UT189,USA,mid 2000s,NS,95,cluster_38,cluster_38,NoLEE,NoLEE,NC007946
W,NS,1943,NS,1079,cluster_39,cluster_39,NoLEE,NoLEE,NC_017635
Xuzhou21,NS,1999,O157EHEC,11,CG11,cluster_11,selC,10,NC_017906
