File, Num_contigs, Length (MBP)
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome/annot/SRR7407948_trimmed.gff,1027,5.759689
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7285529_trimmed.velvet.gff,1113,5.182868
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7223048_trimmed.velvet.gff,7396,5.468425
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7223040_trimmed.velvet.gff,9401,5.045673
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/annot/SRR7500927_trimmed.velvet.gff,1539,4.506335
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR4788364_trimmed.velvet.gff,1245,5.328092
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR6820994_trimmed.velvet.gff,1798,5.205491
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/missing_and_added/annots/SRR6820990_trimmed.contigs_velvet.fa.gff,1795,7.950968
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/annot/SRR3578966_trimmed.velvet.gff,1987,6.068523
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR5033711_trimmed.velvet.gff,750,5.589285
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7266782_trimmed.velvet.gff,4765,7.826351
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7266786_trimmed.velvet.gff,1063,5.325648
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7276949_trimmed.velvet.gff,889,5.171972
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR6079425_trimmed.velvet.gff,692,5.354719
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR6079429_trimmed.velvet.gff,1043,5.272004
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR6079428_trimmed.velvet.gff,1234,5.15031
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7416052_trimmed.velvet.gff,1589,5.408725
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/annot/SRR3581441_trimmed.velvet.gff,769,5.515609
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR6001343_trimmed.velvet.gff,888,5.58083
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/exist/annot/SRR5017332_trimmed.gff,6924,7.10448
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7274817_trimmed.velvet.gff,857,5.390814
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR1314367_trimmed.velvet.gff,945,4.991173
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR1314365_trimmed.velvet.gff,2106,5.041136
/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/missing_and_added/annots/SRR5018379_trimmed.contigs_velvet.fa.gff,7437,5.66995
