"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX4691945","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3785304","","440.29","1","5039769","1002922139","strain","WGS","GENOMIC","RANDOM"
"SRX4691926","","Shigella boydii","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3785285","","312.46","1","3494246","700638350","strain","WGS","GENOMIC","RANDOM"
"SRX4691816","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3785176","","411.82","1","4672628","933503844","strain","WGS","GENOMIC","RANDOM"
"SRX4691299","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3784654","","386.86","1","4308647","857385837","strain","WGS","GENOMIC","RANDOM"
"SRX4691119","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3784479","","282.79","1","3019960","603030296","strain","WGS","GENOMIC","RANDOM"
"SRX4691116","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3784476","","279.32","1","3138885","629518141","strain","WGS","GENOMIC","RANDOM"
"SRX4691115","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3784475","","320.18","1","3484835","698982010","strain","WGS","GENOMIC","RANDOM"
"SRX4690324","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783683","","242.33","1","2915243","583635451","strain","WGS","GENOMIC","RANDOM"
"SRX4690323","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783684","","217.69","1","2667412","534536858","strain","WGS","GENOMIC","RANDOM"
"SRX4690322","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783681","","220.72","1","2660442","532068131","strain","WGS","GENOMIC","RANDOM"
"SRX4690321","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783682","","391.74","1","4548840","910060444","strain","WGS","GENOMIC","RANDOM"
"SRX4690318","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783678","","246.72","1","2986580","597214917","strain","WGS","GENOMIC","RANDOM"
"SRX4690317","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783677","","322.63","1","3690688","738235337","strain","WGS","GENOMIC","RANDOM"
"SRX4690314","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783673","","372.2","1","4234833","845179471","strain","WGS","GENOMIC","RANDOM"
"SRX4690313","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783672","","230.32","1","3025966","606992474","strain","WGS","GENOMIC","RANDOM"
"SRX4690312","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783671","","188.93","1","2334065","467906409","strain","WGS","GENOMIC","RANDOM"
"SRX4690306","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783665","","215.6","1","2403733","479270811","strain","WGS","GENOMIC","RANDOM"
"SRX4690305","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783664","","333.92","1","3719203","744079708","strain","WGS","GENOMIC","RANDOM"
"SRX4690303","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783662","","152.42","1","1770104","353704440","strain","WGS","GENOMIC","RANDOM"
"SRX4690299","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783658","","153.08","1","1750690","350869654","strain","WGS","GENOMIC","RANDOM"
"SRX4690297","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783657","","125.14","1","1415027","283028651","strain","WGS","GENOMIC","RANDOM"
"SRX4690296","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783656","","221.99","1","2551715","510409499","strain","WGS","GENOMIC","RANDOM"
"SRX4690295","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783655","","118.43","1","1299685","259335631","strain","WGS","GENOMIC","RANDOM"
"SRX4690294","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783654","","88.64","1","1115477","222637917","strain","WGS","GENOMIC","RANDOM"
"SRX4690293","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783653","","100.62","1","1212683","242768079","strain","WGS","GENOMIC","RANDOM"
"SRX4690292","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783652","","124.84","1","1431539","283989294","strain","WGS","GENOMIC","RANDOM"
"SRX4690291","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783651","","125.05","1","1566768","313834145","strain","WGS","GENOMIC","RANDOM"
"SRX4690290","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783650","","187.92","1","2140909","427907775","strain","WGS","GENOMIC","RANDOM"
"SRX4690288","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783648","","223.69","1","2855404","568988241","strain","WGS","GENOMIC","RANDOM"
"SRX4690287","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783647","","216.35","1","2624800","525058163","strain","WGS","GENOMIC","RANDOM"
"SRX4690286","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783646","","147.72","1","1691986","338738172","strain","WGS","GENOMIC","RANDOM"
"SRX4690285","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783645","","352.88","1","4329776","861843434","strain","WGS","GENOMIC","RANDOM"
"SRX4690284","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783644","","290.83","1","3589652","712683970","strain","WGS","GENOMIC","RANDOM"
"SRX4690283","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783643","","105.08","1","1169560","234349097","strain","WGS","GENOMIC","RANDOM"
"SRX4690282","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783642","","137.88","1","1565338","313700894","strain","WGS","GENOMIC","RANDOM"
"SRX4690281","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783641","","183.9","1","2240990","448601076","strain","WGS","GENOMIC","RANDOM"
"SRX4690280","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783640","","159.64","1","1836529","366550134","strain","WGS","GENOMIC","RANDOM"
"SRX4690279","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783639","","150.94","1","1943348","389644954","strain","WGS","GENOMIC","RANDOM"
"SRX4690278","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783638","","151.14","1","1804409","359603901","strain","WGS","GENOMIC","RANDOM"
"SRX4690277","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783637","","233.07","1","2627149","523559227","strain","WGS","GENOMIC","RANDOM"
"SRX4690276","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783635","","78.18","1","895785","178893435","strain","WGS","GENOMIC","RANDOM"
"SRX4690275","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783634","","136.02","1","1580180","315236591","strain","WGS","GENOMIC","RANDOM"
"SRX4690274","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783631","","133.06","1","1552439","308439701","strain","WGS","GENOMIC","RANDOM"
"SRX4690273","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783630","","200.93","1","2207300","438346974","strain","WGS","GENOMIC","RANDOM"
"SRX4690272","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783628","","154.94","1","1761189","352566712","strain","WGS","GENOMIC","RANDOM"
"SRX4690271","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783627","","122.79","1","1627088","326173657","strain","WGS","GENOMIC","RANDOM"
"SRX4690270","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783626","","188","1","2214384","443061473","strain","WGS","GENOMIC","RANDOM"
"SRX4690269","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783625","","320.45","1","3617771","725318093","strain","WGS","GENOMIC","RANDOM"
"SRX4690268","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783633","","289.58","1","3205601","639918583","strain","WGS","GENOMIC","RANDOM"
"SRX4690267","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783624","","162.85","1","1848638","370171939","strain","WGS","GENOMIC","RANDOM"
"SRX4690266","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783623","","165.84","1","1889400","378113628","strain","WGS","GENOMIC","RANDOM"
"SRX4690265","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783621","","330.38","1","3711698","743962101","strain","WGS","GENOMIC","RANDOM"
"SRX4690264","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783622","","338.87","1","3824146","765870806","strain","WGS","GENOMIC","RANDOM"
"SRX4690263","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783632","","210.17","1","2318582","463505100","strain","WGS","GENOMIC","RANDOM"
"SRX4690262","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783620","","170.3","1","1947859","387522743","strain","WGS","GENOMIC","RANDOM"
"SRX4690261","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783619","","432.05","1","4714615","941891133","strain","WGS","GENOMIC","RANDOM"
"SRX4690260","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783636","","206.43","1","2595106","519432655","strain","WGS","GENOMIC","RANDOM"
